Event_id,Timestamp,Activity,Objects,Relations,ObjectChanges,RelationChanges
Lodge_Pcp44,2024-04-29 08:04:44,Lodge Pickup Plan,"['Pcp44', 'Cr2']",['Cr2_to_Pcp44'],"[{'ObjectId': 'Pcp44', 'Attribute': 'CargoID', 'NewValue': 'Cr2'}, {'ObjectId': 'Pcp44', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp44', 'Attribute': 'Total pickup weight', 'NewValue': 10611.3}, {'ObjectId': 'Pcp44', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr2', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 90032.0}, {'ObjectId': 'Cr2', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr2_to_Pcp44', 'Target': 'Pcp44', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp87,2024-04-29 08:12:32,Lodge Pickup Plan,"['Pcp87', 'Cr9']",['Cr9_to_Pcp87'],"[{'ObjectId': 'Pcp87', 'Attribute': 'CargoID', 'NewValue': 'Cr9'}, {'ObjectId': 'Pcp87', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp87', 'Attribute': 'Total pickup weight', 'NewValue': 10815.1}, {'ObjectId': 'Pcp87', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr9', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 133114.7}, {'ObjectId': 'Cr9', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr9_to_Pcp87', 'Target': 'Pcp87', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp48,2024-04-29 08:31:44,Lodge Pickup Plan,"['Pcp48', 'Cr20']",['Cr20_to_Pcp48'],"[{'ObjectId': 'Pcp48', 'Attribute': 'CargoID', 'NewValue': 'Cr20'}, {'ObjectId': 'Pcp48', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp48', 'Attribute': 'Total pickup weight', 'NewValue': 11155.8}, {'ObjectId': 'Pcp48', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr20', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 112866.2}, {'ObjectId': 'Cr20', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr20_to_Pcp48', 'Target': 'Pcp48', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp55,2024-04-29 08:32:30,Lodge Pickup Plan,"['Pcp55', 'Cr13']",['Cr13_to_Pcp55'],"[{'ObjectId': 'Pcp55', 'Attribute': 'CargoID', 'NewValue': 'Cr13'}, {'ObjectId': 'Pcp55', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp55', 'Attribute': 'Total pickup weight', 'NewValue': 11720.1}, {'ObjectId': 'Pcp55', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr13', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 137342.6}, {'ObjectId': 'Cr13', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr13_to_Pcp55', 'Target': 'Pcp55', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp69,2024-04-29 08:39:46,Lodge Pickup Plan,"['Pcp69', 'Cr7']",['Cr7_to_Pcp69'],"[{'ObjectId': 'Pcp69', 'Attribute': 'CargoID', 'NewValue': 'Cr7'}, {'ObjectId': 'Pcp69', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp69', 'Attribute': 'Total pickup weight', 'NewValue': 10058.4}, {'ObjectId': 'Pcp69', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr7', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 130779.5}, {'ObjectId': 'Cr7', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr7_to_Pcp69', 'Target': 'Pcp69', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp18,2024-04-29 08:46:20,Lodge Pickup Plan,"['Pcp18', 'Cr1']",['Cr1_to_Pcp18'],"[{'ObjectId': 'Pcp18', 'Attribute': 'CargoID', 'NewValue': 'Cr1'}, {'ObjectId': 'Pcp18', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp18', 'Attribute': 'Total pickup weight', 'NewValue': 10614.2}, {'ObjectId': 'Pcp18', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr1', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 109508.7}, {'ObjectId': 'Cr1', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr1_to_Pcp18', 'Target': 'Pcp18', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp21,2024-04-29 08:58:14,Lodge Pickup Plan,"['Pcp21', 'Cr8']",['Cr8_to_Pcp21'],"[{'ObjectId': 'Pcp21', 'Attribute': 'CargoID', 'NewValue': 'Cr8'}, {'ObjectId': 'Pcp21', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp21', 'Attribute': 'Total pickup weight', 'NewValue': 10031.5}, {'ObjectId': 'Pcp21', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr8', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 112585.3}, {'ObjectId': 'Cr8', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr8_to_Pcp21', 'Target': 'Pcp21', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp74,2024-04-29 09:07:13,Lodge Pickup Plan,"['Pcp74', 'Cr19']",['Cr19_to_Pcp74'],"[{'ObjectId': 'Pcp74', 'Attribute': 'CargoID', 'NewValue': 'Cr19'}, {'ObjectId': 'Pcp74', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp74', 'Attribute': 'Total pickup weight', 'NewValue': 11595.4}, {'ObjectId': 'Pcp74', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr19', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 135804.7}, {'ObjectId': 'Cr19', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr19_to_Pcp74', 'Target': 'Pcp74', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp23,2024-04-29 09:07:35,Lodge Pickup Plan,"['Pcp23', 'Cr17']",['Cr17_to_Pcp23'],"[{'ObjectId': 'Pcp23', 'Attribute': 'CargoID', 'NewValue': 'Cr17'}, {'ObjectId': 'Pcp23', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp23', 'Attribute': 'Total pickup weight', 'NewValue': 11948.8}, {'ObjectId': 'Pcp23', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr17', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 135137.2}, {'ObjectId': 'Cr17', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr17_to_Pcp23', 'Target': 'Pcp23', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp39,2024-04-29 09:10:45,Lodge Pickup Plan,"['Pcp39', 'Cr12']",['Cr12_to_Pcp39'],"[{'ObjectId': 'Pcp39', 'Attribute': 'CargoID', 'NewValue': 'Cr12'}, {'ObjectId': 'Pcp39', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp39', 'Attribute': 'Total pickup weight', 'NewValue': 10538.7}, {'ObjectId': 'Pcp39', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr12', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 104709.3}, {'ObjectId': 'Cr12', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr12_to_Pcp39', 'Target': 'Pcp39', 'ChangeStatus': 'addedTarget'}]"
