ocel_id;ocel_time
assign_trs_Pcp7;2024-05-01 09:39:03
assign_trs_Pcp7;2024-05-01 09:45:02
assign_trs_Pcp7;2024-05-01 09:45:49
assign_trs_Pcp7;2024-05-01 09:50:43
assign_trs_Pcp7;2024-05-01 09:51:14
assign_trs_Pcp7;2024-05-01 09:53:56
assign_trs_Pcp7;2024-05-01 10:00:15
assign_trs_Pcp7;2024-05-01 10:00:58
assign_trs_Pcp7;2024-05-01 10:04:05
assign_trs_Pcp7;2024-05-01 10:06:23
assign_trs_Pcp7;2024-05-01 10:06:25
assign_trs_Pcp7;2024-05-01 10:11:23
assign_trs_Pcp7;2024-05-01 10:12:18
assign_trs_Pcp7;2024-05-01 10:13:45
assign_trs_Pcp7;2024-05-01 10:16:13
assign_trs_Pcp7;2024-05-01 10:21:57
assign_trs_Pcp7;2024-05-01 10:22:21
assign_trs_Pcp7;2024-05-01 10:24:55
assign_trs_Pcp7;2024-05-01 10:28:35
assign_trs_Pcp7;2024-05-01 10:28:47
assign_trs_Pcp7;2024-05-01 10:33:02
assign_trs_Pcp7;2024-05-01 10:34:51
assign_trs_Pcp7;2024-05-01 10:35:31
assign_trs_Pcp7;2024-05-01 10:35:59
assign_trs_Pcp7;2024-05-01 10:36:05
assign_trs_Pcp7;2024-05-01 10:39:05
assign_trs_Pcp7;2024-05-01 10:40:27
assign_trs_Pcp7;2024-05-01 10:40:28
assign_trs_Pcp7;2024-05-01 10:45:11
assign_trs_Pcp7;2024-05-01 10:49:50
assign_trs_Pcp1;2024-05-01 10:51:43
assign_trs_Pcp7;2024-05-01 11:00:34
assign_trs_Pcp1;2024-05-01 11:07:24
assign_trs_Pcp7;2024-05-01 11:10:00
assign_trs_Pcp1;2024-05-01 11:13:51
assign_trs_Pcp7;2024-05-01 11:16:04
assign_trs_Pcp7;2024-05-01 11:16:57
assign_trs_Pcp1;2024-05-01 11:21:43
assign_trs_Pcp7;2024-05-01 11:28:52
