ocel_id;ocel_time
eval_trs_exittr15_Pcp29;2024-04-01 16:18:34
eval_trs_exittr24_Pcp56;2024-04-01 16:46:06
eval_trs_exittr43_Pcp26;2024-04-01 17:04:34
eval_trs_exittr11_Pcp18;2024-04-02 09:20:09
eval_trs_exittr49_Pcp64;2024-04-02 09:35:29
eval_trs_exittr33_Pcp29;2024-04-02 10:01:59
eval_trs_exittr17_Pcp92;2024-04-02 10:13:28
eval_trs_exittr38_Pcp36;2024-04-02 10:54:41
eval_trs_exittr21_Pcp52;2024-04-02 11:02:53
eval_trs_exittr50_Pcp84;2024-04-02 11:06:57
eval_trs_exittr42_Pcp56;2024-04-02 11:08:51
eval_trs_exittr28_Pcp95;2024-04-02 11:09:58
eval_trs_exittr6_Pcp52;2024-04-02 11:15:11
eval_trs_exittr19_Pcp41;2024-04-02 11:34:46
eval_trs_exittr44_Pcp29;2024-04-02 11:47:51
eval_trs_exittr22_Pcp69;2024-04-02 11:57:05
eval_trs_exittr47_Pcp92;2024-04-02 11:58:01
eval_trs_exittr48_Pcp77;2024-04-02 12:04:13
eval_trs_exittr23_Pcp36;2024-04-02 12:57:07
eval_trs_exittr2_Pcp26;2024-04-02 13:26:50
eval_trs_exittr3_Pcp13;2024-04-02 13:27:08
eval_trs_exittr30_Pcp36;2024-04-02 14:03:51
eval_trs_exittr16_Pcp52;2024-04-02 14:18:16
eval_trs_exittr7_Pcp36;2024-04-02 14:20:56
eval_trs_exittr25_Pcp52;2024-04-02 14:40:39
eval_trs_exittr39_Pcp69;2024-04-02 14:43:29
eval_trs_exittr32_Pcp29;2024-04-02 15:31:54
eval_trs_exittr1_Pcp77;2024-04-02 15:37:26
eval_trs_exittr27_Pcp36;2024-04-02 15:38:37
eval_trs_exittr20_Pcp49;2024-04-02 15:55:28
eval_trs_exittr4_Pcp42;2024-04-02 15:58:47
eval_trs_exittr37_Pcp64;2024-04-02 16:02:26
eval_trs_exittr5_Pcp56;2024-04-02 16:06:18
eval_trs_exittr46_Pcp64;2024-04-02 16:10:10
eval_trs_exittr29_Pcp56;2024-04-02 16:15:41
eval_trs_exittr14_Pcp38;2024-04-02 16:23:47
eval_trs_exittr31_Pcp69;2024-04-02 16:24:55
eval_trs_exittr18_Pcp13;2024-04-02 16:39:37
eval_trs_exittr34_Pcp52;2024-04-02 16:57:10
eval_trs_exittr26_Pcp92;2024-04-02 17:12:49
eval_trs_exittr8_Pcp36;2024-04-02 17:36:51
eval_trs_exittr36_Pcp13;2024-04-02 18:38:04
eval_trs_exittr12_Pcp56;2024-04-02 20:46:10
eval_trs_exittr9_Pcp56;2024-04-02 22:43:56
eval_trs_exittr13_Pcp38;2024-04-02 22:54:24
eval_trs_exittr45_Pcp13;2024-04-02 23:12:33
eval_trs_exittr41_Pcp69;2024-04-03 07:14:22
eval_trs_exittr10_Pcp69;2024-04-03 08:00:34
eval_trs_exittr43_Pcp79;2024-04-03 09:27:03
eval_trs_exittr40_Pcp20;2024-04-03 10:23:44
eval_trs_exittr11_Pcp37;2024-04-03 10:30:28
eval_trs_exittr35_Pcp21;2024-04-03 11:40:12
eval_trs_exittr17_Pcp39;2024-04-03 11:54:44
eval_trs_exittr19_Pcp82;2024-04-03 11:55:10
eval_trs_exittr3_Pcp62;2024-04-03 11:57:48
eval_trs_exittr15_Pcp34;2024-04-03 12:02:39
eval_trs_exittr44_Pcp47;2024-04-03 15:02:43
eval_trs_exittr38_Pcp30;2024-04-03 15:27:57
eval_trs_exittr50_Pcp66;2024-04-03 15:32:56
eval_trs_exittr34_Pcp78;2024-04-03 16:13:51
eval_trs_exittr31_Pcp37;2024-04-03 16:32:13
eval_trs_exittr47_Pcp5;2024-04-03 16:50:18
eval_trs_exittr23_Pcp34;2024-04-03 17:01:09
eval_trs_exittr26_Pcp17;2024-04-03 17:09:36
eval_trs_exittr21_Pcp47;2024-04-03 17:10:39
eval_trs_exittr49_Pcp63;2024-04-03 17:14:24
eval_trs_exittr5_Pcp78;2024-04-03 17:55:30
eval_trs_exittr12_Pcp73;2024-04-03 19:06:31
eval_trs_exittr1_Pcp65;2024-04-03 19:38:40
eval_trs_exittr9_Pcp89;2024-04-03 19:44:56
eval_trs_exittr13_Pcp74;2024-04-03 20:27:26
eval_trs_exittr24_Pcp15;2024-04-03 22:11:50
eval_trs_exittr4_Pcp10;2024-04-04 07:30:39
eval_trs_exittr22_Pcp88;2024-04-04 08:28:51
eval_trs_exittr7_Pcp28;2024-04-04 09:26:35
