ocel_id;ocel_time
input_tally_sheettr19;2024-05-02 13:55:01
input_tally_sheettr50;2024-05-02 14:08:38
input_tally_sheettr40;2024-05-02 14:51:01
input_tally_sheettr14;2024-05-02 15:04:48
input_tally_sheettr34;2024-05-02 15:39:17
input_tally_sheettr46;2024-05-02 16:36:37
input_tally_sheettr12;2024-05-02 16:48:56
input_tally_sheettr27;2024-05-02 17:10:44
input_tally_sheettr26;2024-05-02 18:20:51
input_tally_sheettr30;2024-05-02 19:49:37
input_tally_sheettr2;2024-05-03 09:22:29
input_tally_sheettr13;2024-05-03 09:25:55
input_tally_sheettr38;2024-05-03 09:40:40
input_tally_sheettr10;2024-05-03 10:31:10
input_tally_sheettr11;2024-05-03 11:01:10
input_tally_sheettr18;2024-05-03 11:08:01
input_tally_sheettr3;2024-05-03 11:36:48
input_tally_sheettr21;2024-05-03 11:48:10
input_tally_sheettr4;2024-05-03 12:18:53
input_tally_sheettr31;2024-05-03 14:38:31
input_tally_sheettr29;2024-05-03 14:40:19
input_tally_sheettr47;2024-05-03 14:41:33
input_tally_sheettr42;2024-05-03 15:05:48
input_tally_sheettr8;2024-05-03 15:34:30
input_tally_sheettr36;2024-05-03 16:45:36
input_tally_sheettr44;2024-05-03 16:46:17
input_tally_sheettr6;2024-05-03 16:47:48
input_tally_sheettr48;2024-05-03 17:03:32
input_tally_sheettr24;2024-05-03 17:42:03
input_tally_sheettr37;2024-05-03 18:54:45
input_tally_sheettr17;2024-05-03 19:25:53
input_tally_sheettr35;2024-05-03 20:54:38
input_tally_sheettr25;2024-05-03 22:41:58
input_tally_sheettr33;2024-05-03 23:38:02
input_tally_sheettr28;2024-05-06 08:30:40
input_tally_sheettr22;2024-05-06 09:33:19
input_tally_sheettr16;2024-05-06 10:28:44
input_tally_sheettr1;2024-05-06 10:56:54
input_tally_sheettr32;2024-05-06 11:01:33
input_tally_sheettr45;2024-05-06 11:39:23
input_tally_sheettr20;2024-05-06 11:47:53
input_tally_sheettr23;2024-05-06 11:53:30
input_tally_sheettr14;2024-05-06 12:12:57
input_tally_sheettr7;2024-05-06 14:10:41
input_tally_sheettr49;2024-05-06 15:28:37
input_tally_sheettr5;2024-05-06 16:04:06
input_tally_sheettr40;2024-05-06 16:35:11
input_tally_sheettr9;2024-05-07 11:28:08
input_tally_sheettr30;2024-05-07 11:28:33
input_tally_sheettr12;2024-05-07 11:53:46
input_tally_sheettr3;2024-05-07 14:07:52
input_tally_sheettr4;2024-05-07 14:45:31
input_tally_sheettr42;2024-05-07 15:23:59
input_tally_sheettr50;2024-05-07 15:59:30
input_tally_sheettr38;2024-05-07 16:04:46
input_tally_sheettr27;2024-05-07 16:13:10
input_tally_sheettr19;2024-05-07 16:44:41
input_tally_sheettr6;2024-05-07 16:54:32
input_tally_sheettr26;2024-05-07 17:11:28
input_tally_sheettr8;2024-05-07 20:18:48
input_tally_sheettr43;2024-05-07 20:46:31
input_tally_sheettr46;2024-05-07 21:35:30
input_tally_sheettr35;2024-05-08 10:00:25
input_tally_sheettr36;2024-05-08 10:36:07
input_tally_sheettr11;2024-05-08 10:57:55
input_tally_sheettr15;2024-05-08 11:45:49
input_tally_sheettr39;2024-05-08 11:52:04
input_tally_sheettr13;2024-05-08 11:55:06
input_tally_sheettr41;2024-05-08 12:03:19
input_tally_sheettr21;2024-05-08 12:03:42
input_tally_sheettr18;2024-05-08 12:28:52
input_tally_sheettr47;2024-05-08 14:26:22
input_tally_sheettr29;2024-05-08 14:29:18
input_tally_sheettr37;2024-05-08 14:33:27
input_tally_sheettr10;2024-05-08 15:02:00
input_tally_sheettr25;2024-05-08 16:22:59
input_tally_sheettr45;2024-05-08 17:00:18
input_tally_sheettr44;2024-05-08 20:33:59
input_tally_sheettr20;2024-05-09 09:37:12
input_tally_sheettr24;2024-05-09 10:18:57
input_tally_sheettr48;2024-05-09 10:57:57
input_tally_sheettr14;2024-05-09 11:00:20
input_tally_sheettr28;2024-05-09 11:00:24
input_tally_sheettr22;2024-05-09 11:56:05
input_tally_sheettr5;2024-05-09 12:02:38
input_tally_sheettr1;2024-05-09 14:55:42
input_tally_sheettr50;2024-05-09 15:20:48
input_tally_sheettr40;2024-05-09 16:03:47
input_tally_sheettr27;2024-05-09 17:29:17
input_tally_sheettr9;2024-05-09 17:59:43
input_tally_sheettr30;2024-05-09 18:20:28
input_tally_sheettr49;2024-05-09 18:31:36
input_tally_sheettr16;2024-05-09 19:49:34
input_tally_sheettr38;2024-05-10 08:07:16
input_tally_sheettr26;2024-05-10 10:05:30
input_tally_sheettr17;2024-05-10 10:12:59
input_tally_sheettr2;2024-05-10 10:58:36
input_tally_sheettr19;2024-05-10 13:56:43
input_tally_sheettr23;2024-05-10 15:15:43
