ocel_id;ocel_time
load_trucktr3;2024-05-01 11:33:11
load_trucktr34;2024-05-01 11:34:39
load_trucktr19;2024-05-01 11:38:43
load_trucktr31;2024-05-01 13:35:10
load_trucktr39;2024-05-01 13:54:38
load_trucktr32;2024-05-01 13:59:35
load_trucktr14;2024-05-01 14:04:42
load_trucktr46;2024-05-01 14:07:19
load_trucktr20;2024-05-01 14:40:09
load_trucktr40;2024-05-01 14:44:18
load_trucktr15;2024-05-01 14:48:46
load_trucktr30;2024-05-01 14:49:20
load_trucktr26;2024-05-01 15:09:16
load_trucktr50;2024-05-01 15:18:22
load_trucktr17;2024-05-01 15:27:21
load_trucktr1;2024-05-01 15:32:13
load_trucktr38;2024-05-01 15:34:01
load_trucktr44;2024-05-01 15:41:05
load_trucktr47;2024-05-01 15:42:54
load_trucktr2;2024-05-01 15:58:18
load_trucktr33;2024-05-01 15:58:23
load_trucktr4;2024-05-01 16:01:50
load_trucktr28;2024-05-01 16:12:30
load_trucktr21;2024-05-01 16:16:02
load_trucktr36;2024-05-01 16:30:46
load_trucktr22;2024-05-01 16:50:00
load_trucktr35;2024-05-01 16:50:18
load_trucktr11;2024-05-01 17:21:49
load_trucktr16;2024-05-01 17:33:07
load_trucktr43;2024-05-01 17:41:15
load_trucktr27;2024-05-01 17:47:11
load_trucktr29;2024-05-01 18:07:58
load_trucktr25;2024-05-01 18:30:26
load_trucktr48;2024-05-02 07:24:58
load_trucktr18;2024-05-02 07:26:49
load_trucktr42;2024-05-02 07:39:43
load_trucktr10;2024-05-02 08:01:02
load_trucktr12;2024-05-02 08:04:41
load_trucktr9;2024-05-02 09:17:04
load_trucktr24;2024-05-02 09:28:28
load_trucktr6;2024-05-02 09:34:09
load_trucktr37;2024-05-02 09:35:05
load_trucktr41;2024-05-02 10:01:52
load_trucktr23;2024-05-02 10:08:03
load_trucktr13;2024-05-02 10:09:40
load_trucktr7;2024-05-02 10:21:34
load_trucktr49;2024-05-02 10:34:31
load_trucktr5;2024-05-02 11:56:41
load_trucktr8;2024-05-02 13:36:15
load_trucktr45;2024-05-02 14:09:34
load_trucktr14;2024-05-03 07:48:16
load_trucktr50;2024-05-03 10:51:04
load_trucktr30;2024-05-03 14:52:13
load_trucktr12;2024-05-03 16:23:34
load_trucktr40;2024-05-03 16:34:49
load_trucktr46;2024-05-03 16:49:28
load_trucktr13;2024-05-03 17:33:32
load_trucktr19;2024-05-03 18:18:56
load_trucktr26;2024-05-06 09:31:56
load_trucktr3;2024-05-06 10:53:01
load_trucktr34;2024-05-06 10:54:26
load_trucktr21;2024-05-06 10:54:42
load_trucktr38;2024-05-06 11:51:33
load_trucktr10;2024-05-06 11:55:17
load_trucktr42;2024-05-06 13:44:57
load_trucktr27;2024-05-06 14:07:46
load_trucktr31;2024-05-06 14:12:14
load_trucktr2;2024-05-06 14:14:26
load_trucktr18;2024-05-06 14:17:02
load_trucktr6;2024-05-06 14:27:22
load_trucktr4;2024-05-06 15:28:10
load_trucktr8;2024-05-06 15:37:07
load_trucktr33;2024-05-06 15:51:33
load_trucktr25;2024-05-06 16:47:28
load_trucktr11;2024-05-06 17:12:05
load_trucktr44;2024-05-06 17:24:32
load_trucktr29;2024-05-07 07:45:24
load_trucktr24;2024-05-07 09:12:01
load_trucktr45;2024-05-07 09:30:52
load_trucktr48;2024-05-07 09:46:47
load_trucktr35;2024-05-07 10:13:48
load_trucktr47;2024-05-07 10:50:20
load_trucktr40;2024-05-07 10:54:12
load_trucktr20;2024-05-07 10:59:20
load_trucktr36;2024-05-07 11:17:16
load_trucktr14;2024-05-07 11:28:47
load_trucktr17;2024-05-07 11:36:37
load_trucktr22;2024-05-07 12:02:49
load_trucktr37;2024-05-07 13:32:13
load_trucktr28;2024-05-07 13:36:57
load_trucktr32;2024-05-07 14:29:52
load_trucktr16;2024-05-07 14:57:42
load_trucktr1;2024-05-07 14:59:15
load_trucktr23;2024-05-07 15:30:10
load_trucktr49;2024-05-08 09:30:51
load_trucktr5;2024-05-08 09:45:13
load_trucktr7;2024-05-08 11:00:53
load_trucktr30;2024-05-08 11:33:20
load_trucktr9;2024-05-08 13:25:18
load_trucktr50;2024-05-08 13:52:25
load_trucktr26;2024-05-08 14:00:12
load_trucktr3;2024-05-08 15:27:01
load_trucktr12;2024-05-08 15:54:30
load_trucktr42;2024-05-08 16:40:41
load_trucktr4;2024-05-08 16:52:26
load_trucktr43;2024-05-08 17:19:22
load_trucktr27;2024-05-08 17:42:45
load_trucktr8;2024-05-09 07:42:25
load_trucktr38;2024-05-09 07:56:43
load_trucktr6;2024-05-09 10:19:08
load_trucktr25;2024-05-09 10:37:31
load_trucktr35;2024-05-09 10:45:13
load_trucktr46;2024-05-09 11:07:05
load_trucktr41;2024-05-09 11:23:50
load_trucktr39;2024-05-09 11:34:23
load_trucktr11;2024-05-09 11:38:46
load_trucktr10;2024-05-09 11:53:23
load_trucktr21;2024-05-09 12:01:39
load_trucktr19;2024-05-09 12:02:35
load_trucktr45;2024-05-09 14:03:23
load_trucktr13;2024-05-09 14:11:23
load_trucktr15;2024-05-09 14:51:47
load_trucktr47;2024-05-09 15:28:00
load_trucktr37;2024-05-09 15:45:59
load_trucktr20;2024-05-09 15:55:57
load_trucktr18;2024-05-09 16:00:41
load_trucktr36;2024-05-09 17:01:41
load_trucktr29;2024-05-10 08:55:29
load_trucktr44;2024-05-10 10:50:13
load_trucktr5;2024-05-10 10:59:30
load_trucktr48;2024-05-10 11:52:14
load_trucktr24;2024-05-10 13:50:02
load_trucktr27;2024-05-10 14:35:52
load_trucktr28;2024-05-10 15:34:51
load_trucktr30;2024-05-10 15:57:06
load_trucktr22;2024-05-10 16:10:04
load_trucktr14;2024-05-10 17:03:07
load_trucktr49;2024-05-10 17:27:26
load_trucktr38;2024-05-13 09:11:09
load_trucktr40;2024-05-13 09:41:52
load_trucktr16;2024-05-13 10:10:26
