ocel_id;ocel_time
print_w_tickettr15;2024-04-01 16:18:34
print_w_tickettr24;2024-04-01 16:46:06
print_w_tickettr43;2024-04-01 17:04:34
print_w_tickettr11;2024-04-02 09:20:09
print_w_tickettr49;2024-04-02 09:35:29
print_w_tickettr33;2024-04-02 10:01:59
print_w_tickettr17;2024-04-02 10:13:28
print_w_tickettr38;2024-04-02 10:54:41
print_w_tickettr21;2024-04-02 11:02:53
print_w_tickettr50;2024-04-02 11:06:57
print_w_tickettr42;2024-04-02 11:08:51
print_w_tickettr28;2024-04-02 11:09:58
print_w_tickettr6;2024-04-02 11:15:11
print_w_tickettr19;2024-04-02 11:34:46
print_w_tickettr44;2024-04-02 11:47:51
print_w_tickettr22;2024-04-02 11:57:05
print_w_tickettr47;2024-04-02 11:58:01
print_w_tickettr48;2024-04-02 12:04:13
print_w_tickettr23;2024-04-02 12:57:07
print_w_tickettr2;2024-04-02 13:26:50
print_w_tickettr3;2024-04-02 13:27:08
print_w_tickettr30;2024-04-02 14:03:51
print_w_tickettr16;2024-04-02 14:18:16
print_w_tickettr7;2024-04-02 14:20:56
print_w_tickettr25;2024-04-02 14:40:39
print_w_tickettr39;2024-04-02 14:43:29
print_w_tickettr32;2024-04-02 15:31:54
print_w_tickettr1;2024-04-02 15:37:26
print_w_tickettr27;2024-04-02 15:38:37
print_w_tickettr20;2024-04-02 15:55:28
print_w_tickettr4;2024-04-02 15:58:47
print_w_tickettr37;2024-04-02 16:02:26
print_w_tickettr5;2024-04-02 16:06:18
print_w_tickettr46;2024-04-02 16:10:10
print_w_tickettr29;2024-04-02 16:15:41
print_w_tickettr14;2024-04-02 16:23:47
print_w_tickettr31;2024-04-02 16:24:55
print_w_tickettr18;2024-04-02 16:39:37
print_w_tickettr34;2024-04-02 16:57:10
print_w_tickettr26;2024-04-02 17:12:49
print_w_tickettr8;2024-04-02 17:36:51
print_w_tickettr36;2024-04-02 18:38:04
print_w_tickettr12;2024-04-02 20:46:10
print_w_tickettr9;2024-04-02 22:43:56
print_w_tickettr13;2024-04-02 22:54:24
print_w_tickettr45;2024-04-02 23:12:33
print_w_tickettr41;2024-04-03 07:14:22
print_w_tickettr10;2024-04-03 08:00:34
print_w_tickettr43;2024-04-03 09:27:03
print_w_tickettr40;2024-04-03 10:23:44
print_w_tickettr11;2024-04-03 10:30:28
print_w_tickettr35;2024-04-03 11:40:12
print_w_tickettr17;2024-04-03 11:54:44
print_w_tickettr19;2024-04-03 11:55:10
print_w_tickettr3;2024-04-03 11:57:48
print_w_tickettr15;2024-04-03 12:02:39
print_w_tickettr44;2024-04-03 15:02:43
print_w_tickettr38;2024-04-03 15:27:57
print_w_tickettr50;2024-04-03 15:32:56
print_w_tickettr34;2024-04-03 16:13:51
print_w_tickettr31;2024-04-03 16:32:13
print_w_tickettr47;2024-04-03 16:50:18
print_w_tickettr23;2024-04-03 17:01:09
