ocel_id;ocel_time
weigh_loaded_trucktr19;2024-05-02 11:42:16
weigh_loaded_trucktr50;2024-05-02 13:43:39
weigh_loaded_trucktr14;2024-05-02 14:18:23
weigh_loaded_trucktr40;2024-05-02 14:38:21
weigh_loaded_trucktr34;2024-05-02 15:05:24
weigh_loaded_trucktr46;2024-05-02 16:01:01
weigh_loaded_trucktr12;2024-05-02 16:06:05
weigh_loaded_trucktr27;2024-05-02 16:15:41
weigh_loaded_trucktr30;2024-05-02 16:44:42
weigh_loaded_trucktr26;2024-05-02 17:03:12
weigh_loaded_trucktr2;2024-05-02 17:12:12
weigh_loaded_trucktr25;2024-05-02 17:29:59
weigh_loaded_trucktr33;2024-05-02 17:42:58
weigh_loaded_trucktr10;2024-05-03 07:52:50
weigh_loaded_trucktr18;2024-05-03 08:52:23
weigh_loaded_trucktr38;2024-05-03 09:00:42
weigh_loaded_trucktr13;2024-05-03 09:08:47
weigh_loaded_trucktr11;2024-05-03 09:37:59
weigh_loaded_trucktr4;2024-05-03 10:40:30
weigh_loaded_trucktr21;2024-05-03 10:41:30
weigh_loaded_trucktr3;2024-05-03 11:15:35
weigh_loaded_trucktr47;2024-05-03 12:10:30
weigh_loaded_trucktr31;2024-05-03 12:12:08
weigh_loaded_trucktr29;2024-05-03 14:05:11
weigh_loaded_trucktr42;2024-05-03 14:46:05
weigh_loaded_trucktr8;2024-05-03 15:00:50
weigh_loaded_trucktr36;2024-05-03 15:35:17
weigh_loaded_trucktr44;2024-05-03 16:03:50
weigh_loaded_trucktr48;2024-05-03 16:18:21
weigh_loaded_trucktr24;2024-05-03 16:22:12
weigh_loaded_trucktr28;2024-05-03 16:28:11
weigh_loaded_trucktr6;2024-05-03 16:28:38
weigh_loaded_trucktr37;2024-05-03 16:29:21
weigh_loaded_trucktr17;2024-05-03 16:38:38
weigh_loaded_trucktr35;2024-05-03 16:57:09
weigh_loaded_trucktr16;2024-05-03 16:57:31
weigh_loaded_trucktr32;2024-05-06 08:41:58
weigh_loaded_trucktr22;2024-05-06 09:20:57
weigh_loaded_trucktr1;2024-05-06 10:22:01
weigh_loaded_trucktr45;2024-05-06 10:29:41
weigh_loaded_trucktr20;2024-05-06 10:31:43
weigh_loaded_trucktr14;2024-05-06 10:46:57
weigh_loaded_trucktr23;2024-05-06 11:11:20
weigh_loaded_trucktr7;2024-05-06 11:30:49
weigh_loaded_trucktr5;2024-05-06 11:49:46
weigh_loaded_trucktr49;2024-05-06 15:07:53
weigh_loaded_trucktr40;2024-05-06 16:12:12
weigh_loaded_trucktr43;2024-05-06 18:29:36
weigh_loaded_trucktr46;2024-05-06 18:44:10
weigh_loaded_trucktr9;2024-05-07 11:07:25
weigh_loaded_trucktr30;2024-05-07 11:10:33
weigh_loaded_trucktr12;2024-05-07 11:11:41
weigh_loaded_trucktr3;2024-05-07 11:52:55
weigh_loaded_trucktr50;2024-05-07 14:29:20
weigh_loaded_trucktr4;2024-05-07 14:33:27
weigh_loaded_trucktr27;2024-05-07 14:52:22
weigh_loaded_trucktr38;2024-05-07 14:53:23
weigh_loaded_trucktr42;2024-05-07 15:13:32
weigh_loaded_trucktr6;2024-05-07 15:23:46
weigh_loaded_trucktr26;2024-05-07 16:05:11
weigh_loaded_trucktr19;2024-05-07 16:16:37
weigh_loaded_trucktr8;2024-05-07 16:59:42
weigh_loaded_trucktr44;2024-05-07 18:03:36
weigh_loaded_trucktr35;2024-05-08 09:39:28
weigh_loaded_trucktr11;2024-05-08 09:44:13
weigh_loaded_trucktr39;2024-05-08 09:46:24
weigh_loaded_trucktr18;2024-05-08 09:57:57
