ocel_source_id;ocel_target_id;ocel_qualifier;ocel_time
Pcp7;Cr17;Lodged pickup plan for cargo;2024-04-29 08:12:32
Pcp1;Cr1;Lodged pickup plan for cargo;2024-04-29 08:39:46
Pcp2;Cr11;Lodged pickup plan for cargo;2024-04-29 08:46:20
Pcp5;Cr7;Lodged pickup plan for cargo;2024-04-29 09:07:13
Pcp4;Cr16;Lodged pickup plan for cargo;2024-04-29 09:07:35
Pcp8;Cr15;Lodged pickup plan for cargo;2024-04-29 09:10:45
Pcp3;Cr18;Lodged pickup plan for cargo;2024-04-29 09:25:16
Pcp6;Cr19;Lodged pickup plan for cargo;2024-04-29 09:31:44
tr50;Pcp7;Assigned truck for pickup plan;2024-05-01 09:39:03
tr14;Pcp7;Assigned truck for pickup plan;2024-05-01 09:45:02
tr15;Pcp7;Assigned truck for pickup plan;2024-05-01 09:45:49
tr3;Pcp7;Assigned truck for pickup plan;2024-05-01 09:50:43
tr6;Pcp7;Assigned truck for pickup plan;2024-05-01 09:51:14
tr44;Pcp7;Assigned truck for pickup plan;2024-05-01 09:53:56
tr35;Pcp7;Assigned truck for pickup plan;2024-05-01 10:00:15
tr34;Pcp7;Assigned truck for pickup plan;2024-05-01 10:00:58
tr46;Pcp7;Assigned truck for pickup plan;2024-05-01 10:04:05
tr28;Pcp7;Assigned truck for pickup plan;2024-05-01 10:06:23
tr24;Pcp7;Assigned truck for pickup plan;2024-05-01 10:06:25
tr4;Pcp7;Assigned truck for pickup plan;2024-05-01 10:11:23
tr42;Pcp7;Assigned truck for pickup plan;2024-05-01 10:12:18
tr19;Pcp7;Assigned truck for pickup plan;2024-05-01 10:13:45
tr31;Pcp7;Assigned truck for pickup plan;2024-05-01 10:16:13
tr23;Pcp7;Assigned truck for pickup plan;2024-05-01 10:21:57
tr7;Pcp7;Assigned truck for pickup plan;2024-05-01 10:22:21
tr36;Pcp7;Assigned truck for pickup plan;2024-05-01 10:24:55
tr5;Pcp7;Assigned truck for pickup plan;2024-05-01 10:28:35
tr2;Pcp7;Assigned truck for pickup plan;2024-05-01 10:28:47
tr30;Pcp7;Assigned truck for pickup plan;2024-05-01 10:33:02
tr38;Pcp7;Assigned truck for pickup plan;2024-05-01 10:34:51
tr40;Pcp7;Assigned truck for pickup plan;2024-05-01 10:35:31
tr27;Pcp7;Assigned truck for pickup plan;2024-05-01 10:35:59
tr43;Pcp7;Assigned truck for pickup plan;2024-05-01 10:36:05
tr22;Pcp7;Assigned truck for pickup plan;2024-05-01 10:39:05
tr33;Pcp7;Assigned truck for pickup plan;2024-05-01 10:40:27
tr39;Pcp7;Assigned truck for pickup plan;2024-05-01 10:40:28
tr1;Pcp7;Assigned truck for pickup plan;2024-05-01 10:45:11
tr21;Pcp7;Assigned truck for pickup plan;2024-05-01 10:49:50
tr10;Pcp1;Assigned truck for pickup plan;2024-05-01 10:51:43
tr48;Pcp7;Assigned truck for pickup plan;2024-05-01 11:00:34
tr47;Pcp1;Assigned truck for pickup plan;2024-05-01 11:07:24
tr29;Pcp7;Assigned truck for pickup plan;2024-05-01 11:10:00
tr25;Pcp1;Assigned truck for pickup plan;2024-05-01 11:13:51
tr11;Pcp7;Assigned truck for pickup plan;2024-05-01 11:16:04
tr12;Pcp7;Assigned truck for pickup plan;2024-05-01 11:16:57
tr32;Pcp1;Assigned truck for pickup plan;2024-05-01 11:21:43
tr17;Pcp7;Assigned truck for pickup plan;2024-05-01 11:28:52
tr20;Pcp7;Assigned truck for pickup plan;2024-05-01 11:31:04
tr18;Pcp7;Assigned truck for pickup plan;2024-05-01 11:37:45
tr45;Pcp7;Assigned truck for pickup plan;2024-05-01 11:39:44
tr16;Pcp7;Assigned truck for pickup plan;2024-05-01 11:45:46
tr26;Pcp7;Assigned truck for pickup plan;2024-05-01 11:57:34
tr13;Pcp1;Assigned truck for pickup plan;2024-05-01 12:18:53
tr49;Pcp7;Assigned truck for pickup plan;2024-05-01 13:20:41
tr37;Pcp7;Assigned truck for pickup plan;2024-05-01 13:46:19
tr41;Pcp7;Assigned truck for pickup plan;2024-05-01 14:01:18
tr8;Pcp7;Assigned truck for pickup plan;2024-05-01 14:18:59
tr9;Pcp1;Assigned truck for pickup plan;2024-05-01 15:35:56
tr50;Pcp7;Dropped truck from pickup plan;2024-05-02 14:26:26
tr19;Pcp7;Dropped truck from pickup plan;2024-05-02 15:18:55
tr14;Pcp7;Dropped truck from pickup plan;2024-05-02 15:19:15
tr34;Pcp7;Dropped truck from pickup plan;2024-05-02 15:52:43
tr40;Pcp7;Dropped truck from pickup plan;2024-05-02 16:08:31
tr50;Pcp8;Assigned truck for pickup plan;2024-05-02 16:14:53
tr46;Pcp7;Dropped truck from pickup plan;2024-05-02 16:58:29
tr14;Pcp2;Assigned truck for pickup plan;2024-05-02 17:05:01
tr12;Pcp7;Dropped truck from pickup plan;2024-05-02 18:10:35
tr27;Pcp7;Dropped truck from pickup plan;2024-05-03 07:46:30
tr26;Pcp7;Dropped truck from pickup plan;2024-05-03 07:58:10
tr30;Pcp7;Dropped truck from pickup plan;2024-05-03 08:53:17
tr34;Pcp2;Assigned truck for pickup plan;2024-05-03 09:16:27
tr40;Pcp8;Assigned truck for pickup plan;2024-05-03 09:17:16
tr13;Pcp1;Dropped truck from pickup plan;2024-05-03 09:42:17
tr2;Pcp7;Dropped truck from pickup plan;2024-05-03 10:24:00
tr19;Pcp5;Assigned truck for pickup plan;2024-05-03 10:40:09
tr12;Pcp1;Assigned truck for pickup plan;2024-05-03 10:40:52
tr30;Pcp2;Assigned truck for pickup plan;2024-05-03 10:59:10
tr38;Pcp7;Dropped truck from pickup plan;2024-05-03 11:11:04
tr46;Pcp5;Assigned truck for pickup plan;2024-05-03 11:12:29
tr18;Pcp7;Dropped truck from pickup plan;2024-05-03 11:16:59
tr11;Pcp7;Dropped truck from pickup plan;2024-05-03 11:24:51
tr10;Pcp1;Dropped truck from pickup plan;2024-05-03 11:35:12
tr3;Pcp7;Dropped truck from pickup plan;2024-05-03 11:47:05
tr13;Pcp3;Assigned truck for pickup plan;2024-05-03 13:56:10
tr4;Pcp7;Dropped truck from pickup plan;2024-05-03 14:00:47
tr2;Pcp5;Assigned truck for pickup plan;2024-05-03 14:07:42
tr21;Pcp7;Dropped truck from pickup plan;2024-05-03 14:13:44
tr18;Pcp8;Assigned truck for pickup plan;2024-05-03 14:19:25
tr27;Pcp8;Assigned truck for pickup plan;2024-05-03 14:50:13
tr38;Pcp3;Assigned truck for pickup plan;2024-05-03 14:51:22
tr11;Pcp3;Assigned truck for pickup plan;2024-05-03 15:07:12
tr3;Pcp5;Assigned truck for pickup plan;2024-05-03 15:43:51
tr29;Pcp7;Dropped truck from pickup plan;2024-05-03 15:44:07
tr42;Pcp7;Dropped truck from pickup plan;2024-05-03 15:46:39
tr8;Pcp7;Dropped truck from pickup plan;2024-05-03 15:53:25
tr47;Pcp1;Dropped truck from pickup plan;2024-05-03 15:55:28
tr31;Pcp7;Dropped truck from pickup plan;2024-05-03 16:05:03
tr26;Pcp1;Assigned truck for pickup plan;2024-05-03 16:06:03
tr21;Pcp3;Assigned truck for pickup plan;2024-05-03 16:46:34
tr10;Pcp8;Assigned truck for pickup plan;2024-05-03 16:51:27
tr4;Pcp6;Assigned truck for pickup plan;2024-05-03 16:54:27
tr6;Pcp7;Dropped truck from pickup plan;2024-05-03 18:31:00
tr44;Pcp7;Dropped truck from pickup plan;2024-05-03 18:32:26
tr48;Pcp7;Dropped truck from pickup plan;2024-05-06 07:23:49
tr31;Pcp5;Assigned truck for pickup plan;2024-05-06 07:51:32
tr25;Pcp1;Dropped truck from pickup plan;2024-05-06 07:55:36
tr36;Pcp7;Dropped truck from pickup plan;2024-05-06 08:01:33
tr17;Pcp7;Dropped truck from pickup plan;2024-05-06 08:02:51
tr33;Pcp7;Dropped truck from pickup plan;2024-05-06 08:05:26
tr35;Pcp7;Dropped truck from pickup plan;2024-05-06 08:20:45
tr24;Pcp7;Dropped truck from pickup plan;2024-05-06 08:23:49
tr37;Pcp7;Dropped truck from pickup plan;2024-05-06 08:36:42
tr8;Pcp2;Assigned truck for pickup plan;2024-05-06 09:08:53
tr42;Pcp4;Assigned truck for pickup plan;2024-05-06 09:18:36
tr29;Pcp1;Assigned truck for pickup plan;2024-05-06 09:43:32
tr22;Pcp7;Dropped truck from pickup plan;2024-05-06 09:45:22
tr28;Pcp7;Dropped truck from pickup plan;2024-05-06 09:59:43
tr36;Pcp1;Assigned truck for pickup plan;2024-05-06 10:23:51
tr35;Pcp4;Assigned truck for pickup plan;2024-05-06 10:28:00
tr47;Pcp6;Assigned truck for pickup plan;2024-05-06 10:30:38
tr33;Pcp5;Assigned truck for pickup plan;2024-05-06 10:32:14
tr6;Pcp1;Assigned truck for pickup plan;2024-05-06 10:32:16
tr44;Pcp3;Assigned truck for pickup plan;2024-05-06 10:45:09
tr16;Pcp7;Dropped truck from pickup plan;2024-05-06 10:53:30
tr32;Pcp1;Dropped truck from pickup plan;2024-05-06 11:31:27
tr17;Pcp2;Assigned truck for pickup plan;2024-05-06 11:43:55
tr24;Pcp4;Assigned truck for pickup plan;2024-05-06 12:03:55
tr1;Pcp7;Dropped truck from pickup plan;2024-05-06 12:18:11
tr22;Pcp1;Assigned truck for pickup plan;2024-05-06 13:26:32
tr14;Pcp2;Dropped truck from pickup plan;2024-05-06 13:41:07
tr45;Pcp7;Dropped truck from pickup plan;2024-05-06 13:44:08
tr25;Pcp8;Assigned truck for pickup plan;2024-05-06 14:02:36
tr23;Pcp7;Dropped truck from pickup plan;2024-05-06 14:07:11
tr20;Pcp7;Dropped truck from pickup plan;2024-05-06 14:28:16
tr28;Pcp4;Assigned truck for pickup plan;2024-05-06 14:29:53
tr48;Pcp5;Assigned truck for pickup plan;2024-05-06 14:39:45
tr7;Pcp7;Dropped truck from pickup plan;2024-05-06 14:43:54
tr37;Pcp3;Assigned truck for pickup plan;2024-05-06 14:57:58
tr32;Pcp3;Assigned truck for pickup plan;2024-05-06 15:26:16
tr16;Pcp8;Assigned truck for pickup plan;2024-05-06 15:37:16
tr49;Pcp7;Dropped truck from pickup plan;2024-05-06 15:40:15
tr45;Pcp4;Assigned truck for pickup plan;2024-05-06 16:12:10
tr5;Pcp7;Dropped truck from pickup plan;2024-05-06 16:26:33
tr14;Pcp3;Assigned truck for pickup plan;2024-05-06 16:27:08
tr23;Pcp5;Assigned truck for pickup plan;2024-05-06 16:47:11
tr1;Pcp4;Assigned truck for pickup plan;2024-05-06 16:52:33
tr40;Pcp8;Dropped truck from pickup plan;2024-05-06 16:54:46
tr20;Pcp4;Assigned truck for pickup plan;2024-05-06 17:04:50
tr40;Pcp1;Assigned truck for pickup plan;2024-05-07 08:55:43
tr49;Pcp5;Assigned truck for pickup plan;2024-05-07 09:10:32
tr5;Pcp2;Assigned truck for pickup plan;2024-05-07 10:10:41
tr30;Pcp2;Dropped truck from pickup plan;2024-05-07 11:34:33
tr7;Pcp6;Assigned truck for pickup plan;2024-05-07 11:37:54
tr9;Pcp1;Dropped truck from pickup plan;2024-05-07 13:29:36
tr12;Pcp1;Dropped truck from pickup plan;2024-05-07 13:59:04
tr3;Pcp5;Dropped truck from pickup plan;2024-05-07 14:38:07
tr42;Pcp4;Dropped truck from pickup plan;2024-05-07 15:32:23
tr4;Pcp6;Dropped truck from pickup plan;2024-05-07 15:50:27
tr30;Pcp6;Assigned truck for pickup plan;2024-05-07 15:52:43
tr38;Pcp3;Dropped truck from pickup plan;2024-05-07 16:19:30
tr9;Pcp2;Assigned truck for pickup plan;2024-05-07 16:26:57
tr12;Pcp8;Assigned truck for pickup plan;2024-05-07 16:34:35
tr3;Pcp6;Assigned truck for pickup plan;2024-05-07 16:44:27
tr27;Pcp8;Dropped truck from pickup plan;2024-05-07 16:46:52
tr50;Pcp8;Dropped truck from pickup plan;2024-05-07 17:32:17
tr6;Pcp1;Dropped truck from pickup plan;2024-05-07 18:05:18
tr19;Pcp5;Dropped truck from pickup plan;2024-05-07 18:28:53
tr26;Pcp1;Dropped truck from pickup plan;2024-05-08 07:25:50
tr43;Pcp7;Dropped truck from pickup plan;2024-05-08 08:18:52
tr8;Pcp2;Dropped truck from pickup plan;2024-05-08 08:21:33
tr46;Pcp5;Dropped truck from pickup plan;2024-05-08 08:33:33
tr38;Pcp6;Assigned truck for pickup plan;2024-05-08 09:03:25
tr50;Pcp4;Assigned truck for pickup plan;2024-05-08 09:20:47
tr27;Pcp4;Assigned truck for pickup plan;2024-05-08 09:35:04
tr42;Pcp1;Assigned truck for pickup plan;2024-05-08 10:24:02
tr6;Pcp1;Assigned truck for pickup plan;2024-05-08 10:27:04
tr35;Pcp4;Dropped truck from pickup plan;2024-05-08 10:32:53
tr43;Pcp6;Assigned truck for pickup plan;2024-05-08 10:44:19
tr36;Pcp1;Dropped truck from pickup plan;2024-05-08 10:55:26
tr26;Pcp5;Assigned truck for pickup plan;2024-05-08 10:55:50
tr4;Pcp1;Assigned truck for pickup plan;2024-05-08 11:27:46
tr11;Pcp3;Dropped truck from pickup plan;2024-05-08 12:10:32
tr35;Pcp3;Assigned truck for pickup plan;2024-05-08 12:44:53
tr46;Pcp3;Assigned truck for pickup plan;2024-05-08 12:46:05
tr41;Pcp7;Dropped truck from pickup plan;2024-05-08 13:43:42
tr21;Pcp3;Dropped truck from pickup plan;2024-05-08 13:45:40
tr18;Pcp8;Dropped truck from pickup plan;2024-05-08 13:58:11
tr13;Pcp3;Dropped truck from pickup plan;2024-05-08 14:00:59
tr15;Pcp7;Dropped truck from pickup plan;2024-05-08 14:03:07
tr39;Pcp7;Dropped truck from pickup plan;2024-05-08 14:23:38
tr29;Pcp1;Dropped truck from pickup plan;2024-05-08 14:37:26
tr47;Pcp6;Dropped truck from pickup plan;2024-05-08 14:37:40
tr19;Pcp5;Assigned truck for pickup plan;2024-05-08 14:37:45
tr36;Pcp4;Assigned truck for pickup plan;2024-05-08 14:52:26
tr37;Pcp3;Dropped truck from pickup plan;2024-05-08 14:54:53
tr8;Pcp8;Assigned truck for pickup plan;2024-05-08 15:12:13
tr10;Pcp8;Dropped truck from pickup plan;2024-05-08 15:40:34
tr15;Pcp5;Assigned truck for pickup plan;2024-05-08 16:05:01
tr13;Pcp8;Assigned truck for pickup plan;2024-05-08 16:13:21
tr25;Pcp8;Dropped truck from pickup plan;2024-05-08 16:36:41
tr11;Pcp3;Assigned truck for pickup plan;2024-05-08 17:32:27
tr41;Pcp2;Assigned truck for pickup plan;2024-05-08 17:57:25
