ocel_id;ocel_type
Cr20;Cargo
tr46;Truck
Cr15;Cargo
Cr7;Cargo
Cr19;Cargo
Cr3;Cargo
Cr10;Cargo
Cr8;Cargo
Cr18;Cargo
tr28;Truck
Cr14;Cargo
Cr11;Cargo
Cr6;Cargo
Cr16;Cargo
tr5;Truck
tr27;Truck
tr41;Truck
Cr13;Cargo
tr12;Truck
tr36;Truck
Cr2;Cargo
Cr9;Cargo
tr37;Truck
tr33;Truck
Cr12;Cargo
tr49;Truck
tr19;Truck
tr35;Truck
tr29;Truck
Cr4;Cargo
tr25;Truck
tr43;Truck
tr18;Truck
tr48;Truck
tr17;Truck
tr4;Truck
tr21;Truck
tr1;Truck
tr10;Truck
tr39;Truck
Cr17;Cargo
tr9;Truck
tr22;Truck
Cr5;Cargo
tr40;Truck
tr30;Truck
tr16;Truck
tr14;Truck
tr32;Truck
tr6;Truck
tr3;Truck
tr26;Truck
tr23;Truck
tr44;Truck
tr8;Truck
Cr1;Cargo
tr42;Truck
tr11;Truck
tr7;Truck
tr50;Truck
tr13;Truck
tr38;Truck
tr15;Truck
tr45;Truck
tr47;Truck
tr34;Truck
tr2;Truck
Sil7;Silo
tr24;Truck
Sil3;Silo
tr31;Truck
Sil19;Silo
Sil15;Silo
Sil5;Silo
Sil11;Silo
Sil4;Silo
Sil17;Silo
Sil20;Silo
Sil18;Silo
Sil13;Silo
Sil8;Silo
tr20;Truck
Sil16;Silo
Sil6;Silo
Sil14;Silo
Sil9;Silo
Sil2;Silo
Sil12;Silo
Sil10;Silo
Sil1;Silo
