ocel_id;ocel_time;ocel_changed_field;Pickup Plan ID;Cargo ID;LPT;Axles;Scheduled Pickup Weight;Truck Status;Truck Weight
tr43;2024-03-04 00:00:00;;;;841DKJ;6;0.0;Available;0.0
tr5;2024-03-04 00:00:00;;;;630IKM;4;0.0;Available;0.0
tr1;2024-03-04 00:00:00;;;;582MPM;6;0.0;Available;0.0
tr37;2024-03-04 00:00:00;;;;266LRD;4;0.0;Available;0.0
tr26;2024-03-04 00:00:00;;;;657JXX;2;0.0;Available;0.0
tr31;2024-03-04 00:00:00;;;;565CHS;2;0.0;Available;0.0
tr4;2024-03-04 00:00:00;;;;920MDU;2;0.0;Available;0.0
tr3;2024-03-04 00:00:00;;;;518VBF;6;0.0;Available;0.0
tr38;2024-03-04 00:00:00;;;;163TVX;4;0.0;Available;0.0
tr33;2024-03-04 00:00:00;;;;104HLO;6;0.0;Available;0.0
tr21;2024-03-04 00:00:00;;;;224VVL;6;0.0;Available;0.0
tr11;2024-03-04 00:00:00;;;;835IPX;4;0.0;Available;0.0
tr46;2024-03-04 00:00:00;;;;947VEO;6;0.0;Available;0.0
tr41;2024-03-04 00:00:00;;;;121EDQ;2;0.0;Available;0.0
tr18;2024-03-04 00:00:00;;;;855BXS;6;0.0;Available;0.0
tr29;2024-03-04 00:00:00;;;;663DSL;6;0.0;Available;0.0
tr15;2024-03-04 00:00:00;;;;226EML;2;0.0;Available;0.0
tr36;2024-03-04 00:00:00;;;;583LHJ;6;0.0;Available;0.0
tr45;2024-03-04 00:00:00;;;;716GFJ;6;0.0;Available;0.0
tr24;2024-03-04 00:00:00;;;;937SKC;2;0.0;Available;0.0
tr9;2024-03-04 00:00:00;;;;077KTB;6;0.0;Available;0.0
tr42;2024-03-04 00:00:00;;;;954HVO;2;0.0;Available;0.0
tr25;2024-03-04 00:00:00;;;;036ETH;4;0.0;Available;0.0
tr8;2024-03-04 00:00:00;;;;286EVS;4;0.0;Available;0.0
tr48;2024-03-04 00:00:00;;;;771JKQ;2;0.0;Available;0.0
tr39;2024-03-04 00:00:00;;;;875GWM;4;0.0;Available;0.0
tr22;2024-03-04 00:00:00;;;;301UQT;6;0.0;Available;0.0
tr40;2024-03-04 00:00:00;;;;545QEP;4;0.0;Available;0.0
tr34;2024-03-04 00:00:00;;;;452KLN;6;0.0;Available;0.0
tr17;2024-03-04 00:00:00;;;;449PKI;2;0.0;Available;0.0
tr13;2024-03-04 00:00:00;;;;456PXR;2;0.0;Available;0.0
tr49;2024-03-04 00:00:00;;;;422PGW;2;0.0;Available;0.0
tr30;2024-03-04 00:00:00;;;;454ULK;6;0.0;Available;0.0
tr20;2024-03-04 00:00:00;;;;246HHS;4;0.0;Available;0.0
tr14;2024-03-04 00:00:00;;;;649IMV;4;0.0;Available;0.0
tr44;2024-03-04 00:00:00;;;;786DDP;2;0.0;Available;0.0
tr35;2024-03-04 00:00:00;;;;281CBY;2;0.0;Available;0.0
tr27;2024-03-04 00:00:00;;;;684CXA;6;0.0;Available;0.0
tr2;2024-03-04 00:00:00;;;;126SRU;4;0.0;Available;0.0
tr12;2024-03-04 00:00:00;;;;469JJD;4;0.0;Available;0.0
tr19;2024-03-04 00:00:00;;;;768BNN;2;0.0;Available;0.0
tr28;2024-03-04 00:00:00;;;;315JVB;4;0.0;Available;0.0
tr50;2024-03-04 00:00:00;;;;406FCV;4;0.0;Available;0.0
tr32;2024-03-04 00:00:00;;;;985GLO;2;0.0;Available;0.0
tr10;2024-03-04 00:00:00;;;;831XYT;2;0.0;Available;0.0
tr6;2024-03-04 00:00:00;;;;385QRP;4;0.0;Available;0.0
tr23;2024-03-04 00:00:00;;;;441TAD;2;0.0;Available;0.0
tr47;2024-03-04 00:00:00;;;;762TCT;4;0.0;Available;0.0
tr16;2024-03-04 00:00:00;;;;152BSJ;6;0.0;Available;0.0
tr7;2024-03-04 00:00:00;;;;547ZWQ;6;0.0;Available;0.0
