Event_id,Timestamp,Activity,PickupPlan,Cargo,Truck
Lodge_Pcp44,2024-04-29 08:04:44,Lodge Pickup Plan,['Pcp44'],['Cr2'],
Lodge_Pcp87,2024-04-29 08:12:32,Lodge Pickup Plan,['Pcp87'],['Cr9'],
Lodge_Pcp48,2024-04-29 08:31:44,Lodge Pickup Plan,['Pcp48'],['Cr20'],
Lodge_Pcp55,2024-04-29 08:32:30,Lodge Pickup Plan,['Pcp55'],['Cr13'],
Lodge_Pcp69,2024-04-29 08:39:46,Lodge Pickup Plan,['Pcp69'],['Cr7'],
Lodge_Pcp18,2024-04-29 08:46:20,Lodge Pickup Plan,['Pcp18'],['Cr1'],
Lodge_Pcp21,2024-04-29 08:58:14,Lodge Pickup Plan,['Pcp21'],['Cr8'],
Lodge_Pcp74,2024-04-29 09:07:13,Lodge Pickup Plan,['Pcp74'],['Cr19'],
Lodge_Pcp23,2024-04-29 09:07:35,Lodge Pickup Plan,['Pcp23'],['Cr17'],
Lodge_Pcp39,2024-04-29 09:10:45,Lodge Pickup Plan,['Pcp39'],['Cr12'],
Lodge_Pcp41,2024-04-29 09:19:03,Lodge Pickup Plan,['Pcp41'],['Cr15'],
Lodge_Pcp29,2024-04-29 09:25:16,Lodge Pickup Plan,['Pcp29'],['Cr10'],
Lodge_Pcp36,2024-04-29 09:29:40,Lodge Pickup Plan,['Pcp36'],['Cr11'],
Lodge_Pcp81,2024-04-29 09:29:57,Lodge Pickup Plan,['Pcp81'],['Cr14'],
Lodge_Pcp22,2024-04-29 09:31:44,Lodge Pickup Plan,['Pcp22'],['Cr5'],
Lodge_Pcp28,2024-04-29 09:46:28,Lodge Pickup Plan,['Pcp28'],['Cr20'],
Lodge_Pcp59,2024-04-29 09:47:00,Lodge Pickup Plan,['Pcp59'],['Cr15'],
Lodge_Pcp7,2024-04-29 09:49:45,Lodge Pickup Plan,['Pcp7'],['Cr16'],
Lodge_Pcp64,2024-04-29 09:53:26,Lodge Pickup Plan,['Pcp64'],['Cr10'],
Lodge_Pcp4,2024-04-29 09:57:41,Lodge Pickup Plan,['Pcp4'],['Cr11'],
Lodge_Pcp5,2024-04-29 09:58:47,Lodge Pickup Plan,['Pcp5'],['Cr2'],
Lodge_Pcp82,2024-04-29 10:00:12,Lodge Pickup Plan,['Pcp82'],['Cr18'],
Lodge_Pcp98,2024-04-29 10:07:21,Lodge Pickup Plan,['Pcp98'],['Cr9'],
Lodge_Pcp86,2024-04-29 10:08:38,Lodge Pickup Plan,['Pcp86'],['Cr17'],
Lodge_Pcp67,2024-04-29 10:19:50,Lodge Pickup Plan,['Pcp67'],['Cr6'],
Lodge_Pcp72,2024-04-29 10:26:34,Lodge Pickup Plan,['Pcp72'],['Cr8'],
Lodge_Pcp38,2024-04-29 10:32:00,Lodge Pickup Plan,['Pcp38'],['Cr4'],
Lodge_Pcp91,2024-04-29 10:35:44,Lodge Pickup Plan,['Pcp91'],['Cr3'],
Lodge_Pcp10,2024-04-29 10:36:01,Lodge Pickup Plan,['Pcp10'],['Cr5'],
Lodge_Pcp63,2024-04-29 10:39:37,Lodge Pickup Plan,['Pcp63'],['Cr17'],
Lodge_Pcp47,2024-04-29 10:44:58,Lodge Pickup Plan,['Pcp47'],['Cr13'],
Lodge_Pcp79,2024-04-29 10:52:22,Lodge Pickup Plan,['Pcp79'],['Cr7'],
Lodge_Pcp16,2024-04-29 10:57:06,Lodge Pickup Plan,['Pcp16'],['Cr8'],
Lodge_Pcp90,2024-04-29 11:03:31,Lodge Pickup Plan,['Pcp90'],['Cr19'],
Lodge_Pcp54,2024-04-29 11:11:06,Lodge Pickup Plan,['Pcp54'],['Cr14'],
Lodge_Pcp53,2024-04-29 11:17:06,Lodge Pickup Plan,['Pcp53'],['Cr1'],
Lodge_Pcp45,2024-04-29 11:20:04,Lodge Pickup Plan,['Pcp45'],['Cr12'],
Lodge_Pcp100,2024-04-29 11:34:06,Lodge Pickup Plan,['Pcp100'],['Cr20'],
Lodge_Pcp49,2024-04-29 11:34:47,Lodge Pickup Plan,['Pcp49'],['Cr15'],
Lodge_Pcp60,2024-04-29 11:42:49,Lodge Pickup Plan,['Pcp60'],['Cr4'],
Lodge_Pcp31,2024-04-29 11:53:08,Lodge Pickup Plan,['Pcp31'],['Cr5'],
Lodge_Pcp66,2024-04-29 11:58:28,Lodge Pickup Plan,['Pcp66'],['Cr12'],
Lodge_Pcp68,2024-04-29 12:04:03,Lodge Pickup Plan,['Pcp68'],['Cr10'],
Lodge_Pcp76,2024-04-29 12:13:27,Lodge Pickup Plan,['Pcp76'],['Cr6'],
Lodge_Pcp83,2024-04-29 12:14:55,Lodge Pickup Plan,['Pcp83'],['Cr2'],
Lodge_Pcp52,2024-04-29 12:15:05,Lodge Pickup Plan,['Pcp52'],['Cr7'],
Lodge_Pcp42,2024-04-29 13:23:11,Lodge Pickup Plan,['Pcp42'],['Cr1'],
Lodge_Pcp2,2024-04-29 13:27:32,Lodge Pickup Plan,['Pcp2'],['Cr18'],
Lodge_Pcp43,2024-04-29 13:28:05,Lodge Pickup Plan,['Pcp43'],['Cr19'],
Lodge_Pcp35,2024-04-29 13:34:03,Lodge Pickup Plan,['Pcp35'],['Cr14'],
Lodge_Pcp34,2024-04-29 14:00:34,Lodge Pickup Plan,['Pcp34'],['Cr6'],
Lodge_Pcp27,2024-04-29 14:03:46,Lodge Pickup Plan,['Pcp27'],['Cr8'],
Lodge_Pcp9,2024-04-29 14:11:24,Lodge Pickup Plan,['Pcp9'],['Cr3'],
Lodge_Pcp24,2024-04-29 14:13:18,Lodge Pickup Plan,['Pcp24'],['Cr9'],
Lodge_Pcp6,2024-04-29 14:26:20,Lodge Pickup Plan,['Pcp6'],['Cr5'],
Lodge_Pcp65,2024-04-29 14:32:35,Lodge Pickup Plan,['Pcp65'],['Cr4'],
Lodge_Pcp20,2024-04-29 14:38:02,Lodge Pickup Plan,['Pcp20'],['Cr11'],
Lodge_Pcp26,2024-04-29 14:50:08,Lodge Pickup Plan,['Pcp26'],['Cr10'],
Lodge_Pcp19,2024-04-29 14:53:46,Lodge Pickup Plan,['Pcp19'],['Cr8'],
Lodge_Pcp97,2024-04-29 15:14:43,Lodge Pickup Plan,['Pcp97'],['Cr12'],
Lodge_Pcp95,2024-04-29 15:20:33,Lodge Pickup Plan,['Pcp95'],['Cr15'],
Lodge_Pcp15,2024-04-29 15:23:27,Lodge Pickup Plan,['Pcp15'],['Cr3'],
Lodge_Pcp94,2024-04-29 15:23:36,Lodge Pickup Plan,['Pcp94'],['Cr6'],
Lodge_Pcp46,2024-04-29 15:29:30,Lodge Pickup Plan,['Pcp46'],['Cr16'],
Lodge_Pcp99,2024-04-29 15:33:22,Lodge Pickup Plan,['Pcp99'],['Cr18'],
Lodge_Pcp73,2024-04-29 15:35:00,Lodge Pickup Plan,['Pcp73'],['Cr5'],
Lodge_Pcp40,2024-04-29 15:35:17,Lodge Pickup Plan,['Pcp40'],['Cr2'],
Lodge_Pcp33,2024-04-29 15:39:56,Lodge Pickup Plan,['Pcp33'],['Cr19'],
Lodge_Pcp84,2024-04-29 15:41:42,Lodge Pickup Plan,['Pcp84'],['Cr14'],
Lodge_Pcp13,2024-04-29 15:49:04,Lodge Pickup Plan,['Pcp13'],['Cr15'],
Lodge_Pcp1,2024-04-29 16:02:43,Lodge Pickup Plan,['Pcp1'],['Cr4'],
Lodge_Pcp89,2024-04-29 16:05:13,Lodge Pickup Plan,['Pcp89'],['Cr20'],
Lodge_Pcp71,2024-04-29 16:12:54,Lodge Pickup Plan,['Pcp71'],['Cr17'],
Lodge_Pcp93,2024-04-29 16:19:27,Lodge Pickup Plan,['Pcp93'],['Cr1'],
Lodge_Pcp8,2024-04-29 16:23:22,Lodge Pickup Plan,['Pcp8'],['Cr10'],
Lodge_Pcp12,2024-04-29 16:39:13,Lodge Pickup Plan,['Pcp12'],['Cr9'],
Lodge_Pcp30,2024-04-29 16:42:22,Lodge Pickup Plan,['Pcp30'],['Cr13'],
