PcpCrID,Cargo ID,objectID,eventID
CargoID_0,Cr2,Pcp44,Lodge_Pcp44
CargoID_1,Cr9,Pcp87,Lodge_Pcp87
CargoID_2,Cr20,Pcp48,Lodge_Pcp48
CargoID_3,Cr13,Pcp55,Lodge_Pcp55
CargoID_4,Cr7,Pcp69,Lodge_Pcp69
CargoID_5,Cr1,Pcp18,Lodge_Pcp18
CargoID_6,Cr8,Pcp21,Lodge_Pcp21
CargoID_7,Cr19,Pcp74,Lodge_Pcp74
CargoID_8,Cr17,Pcp23,Lodge_Pcp23
CargoID_9,Cr12,Pcp39,Lodge_Pcp39
CargoID_10,Cr15,Pcp41,Lodge_Pcp41
CargoID_11,Cr10,Pcp29,Lodge_Pcp29
CargoID_12,Cr11,Pcp36,Lodge_Pcp36
CargoID_13,Cr14,Pcp81,Lodge_Pcp81
CargoID_14,Cr5,Pcp22,Lodge_Pcp22
CargoID_15,Cr20,Pcp28,Lodge_Pcp28
CargoID_16,Cr15,Pcp59,Lodge_Pcp59
CargoID_17,Cr16,Pcp7,Lodge_Pcp7
CargoID_18,Cr10,Pcp64,Lodge_Pcp64
CargoID_19,Cr11,Pcp4,Lodge_Pcp4
CargoID_20,Cr2,Pcp5,Lodge_Pcp5
CargoID_21,Cr18,Pcp82,Lodge_Pcp82
CargoID_22,Cr9,Pcp98,Lodge_Pcp98
CargoID_23,Cr17,Pcp86,Lodge_Pcp86
CargoID_24,Cr6,Pcp67,Lodge_Pcp67
CargoID_25,Cr8,Pcp72,Lodge_Pcp72
CargoID_26,Cr4,Pcp38,Lodge_Pcp38
CargoID_27,Cr3,Pcp91,Lodge_Pcp91
CargoID_28,Cr5,Pcp10,Lodge_Pcp10
CargoID_29,Cr17,Pcp63,Lodge_Pcp63
CargoID_30,Cr13,Pcp47,Lodge_Pcp47
CargoID_31,Cr7,Pcp79,Lodge_Pcp79
CargoID_32,Cr8,Pcp16,Lodge_Pcp16
CargoID_33,Cr19,Pcp90,Lodge_Pcp90
CargoID_34,Cr14,Pcp54,Lodge_Pcp54
CargoID_35,Cr1,Pcp53,Lodge_Pcp53
CargoID_36,Cr12,Pcp45,Lodge_Pcp45
CargoID_37,Cr20,Pcp100,Lodge_Pcp100
CargoID_38,Cr15,Pcp49,Lodge_Pcp49
CargoID_39,Cr4,Pcp60,Lodge_Pcp60
CargoID_40,Cr5,Pcp31,Lodge_Pcp31
CargoID_41,Cr12,Pcp66,Lodge_Pcp66
CargoID_42,Cr10,Pcp68,Lodge_Pcp68
CargoID_43,Cr6,Pcp76,Lodge_Pcp76
CargoID_44,Cr2,Pcp83,Lodge_Pcp83
CargoID_45,Cr7,Pcp52,Lodge_Pcp52
CargoID_46,Cr1,Pcp42,Lodge_Pcp42
CargoID_47,Cr18,Pcp2,Lodge_Pcp2
