NotrsID,Num of trucks,objectID,eventID
Num of trucks_0,2,Pcp44,Lodge_Pcp44
Num of trucks_1,2,Pcp87,Lodge_Pcp87
Num of trucks_2,2,Pcp48,Lodge_Pcp48
Num of trucks_3,2,Pcp55,Lodge_Pcp55
Num of trucks_4,2,Pcp69,Lodge_Pcp69
Num of trucks_5,2,Pcp18,Lodge_Pcp18
Num of trucks_6,2,Pcp21,Lodge_Pcp21
Num of trucks_7,2,Pcp74,Lodge_Pcp74
Num of trucks_8,2,Pcp23,Lodge_Pcp23
Num of trucks_9,2,Pcp39,Lodge_Pcp39
Num of trucks_10,2,Pcp41,Lodge_Pcp41
Num of trucks_11,2,Pcp29,Lodge_Pcp29
Num of trucks_12,2,Pcp36,Lodge_Pcp36
Num of trucks_13,2,Pcp81,Lodge_Pcp81
Num of trucks_14,2,Pcp22,Lodge_Pcp22
Num of trucks_15,2,Pcp28,Lodge_Pcp28
Num of trucks_16,2,Pcp59,Lodge_Pcp59
Num of trucks_17,2,Pcp7,Lodge_Pcp7
Num of trucks_18,2,Pcp64,Lodge_Pcp64
Num of trucks_19,2,Pcp4,Lodge_Pcp4
Num of trucks_20,2,Pcp5,Lodge_Pcp5
Num of trucks_21,2,Pcp82,Lodge_Pcp82
Num of trucks_22,2,Pcp98,Lodge_Pcp98
Num of trucks_23,2,Pcp86,Lodge_Pcp86
Num of trucks_24,2,Pcp67,Lodge_Pcp67
Num of trucks_25,2,Pcp72,Lodge_Pcp72
Num of trucks_26,2,Pcp38,Lodge_Pcp38
Num of trucks_27,2,Pcp91,Lodge_Pcp91
Num of trucks_28,2,Pcp10,Lodge_Pcp10
Num of trucks_29,2,Pcp63,Lodge_Pcp63
Num of trucks_30,2,Pcp47,Lodge_Pcp47
Num of trucks_31,2,Pcp79,Lodge_Pcp79
Num of trucks_32,2,Pcp16,Lodge_Pcp16
Num of trucks_33,2,Pcp90,Lodge_Pcp90
Num of trucks_34,2,Pcp54,Lodge_Pcp54
Num of trucks_35,2,Pcp53,Lodge_Pcp53
Num of trucks_36,2,Pcp45,Lodge_Pcp45
Num of trucks_37,2,Pcp100,Lodge_Pcp100
Num of trucks_38,2,Pcp49,Lodge_Pcp49
Num of trucks_39,2,Pcp60,Lodge_Pcp60
Num of trucks_40,2,Pcp31,Lodge_Pcp31
Num of trucks_41,2,Pcp66,Lodge_Pcp66
Num of trucks_42,2,Pcp68,Lodge_Pcp68
Num of trucks_43,2,Pcp76,Lodge_Pcp76
Num of trucks_44,2,Pcp83,Lodge_Pcp83
Num of trucks_45,2,Pcp52,Lodge_Pcp52
Num of trucks_46,2,Pcp42,Lodge_Pcp42
Num of trucks_47,2,Pcp2,Lodge_Pcp2
Num of trucks_48,2,Pcp43,Lodge_Pcp43
Num of trucks_49,2,Pcp35,Lodge_Pcp35
Num of trucks_50,2,Pcp34,Lodge_Pcp34
Num of trucks_51,2,Pcp27,Lodge_Pcp27
Num of trucks_52,2,Pcp9,Lodge_Pcp9
Num of trucks_53,2,Pcp24,Lodge_Pcp24
Num of trucks_54,2,Pcp6,Lodge_Pcp6
Num of trucks_55,2,Pcp65,Lodge_Pcp65
Num of trucks_56,2,Pcp20,Lodge_Pcp20
Num of trucks_57,2,Pcp26,Lodge_Pcp26
Num of trucks_58,2,Pcp19,Lodge_Pcp19
Num of trucks_59,2,Pcp97,Lodge_Pcp97
Num of trucks_60,2,Pcp95,Lodge_Pcp95
Num of trucks_61,2,Pcp15,Lodge_Pcp15
Num of trucks_62,2,Pcp94,Lodge_Pcp94
Num of trucks_63,2,Pcp46,Lodge_Pcp46
Num of trucks_64,2,Pcp99,Lodge_Pcp99
Num of trucks_65,2,Pcp73,Lodge_Pcp73
Num of trucks_66,2,Pcp40,Lodge_Pcp40
Num of trucks_67,2,Pcp33,Lodge_Pcp33
