TCrID,Cargo ID,objectID,eventID
Cargo ID_0,Cr2,tr26,assign_tr26_Pcp44
Cargo ID_1,Cr2,tr49,assign_tr49_Pcp44
Cargo ID_2,Cr9,tr41,assign_tr41_Pcp87
Cargo ID_3,Cr9,tr22,assign_tr22_Pcp87
Cargo ID_4,Cr20,tr11,assign_tr11_Pcp48
Cargo ID_5,Cr20,tr4,assign_tr4_Pcp48
Cargo ID_6,Cr13,tr19,assign_tr19_Pcp55
Cargo ID_7,Cr13,tr30,assign_tr30_Pcp55
Cargo ID_8,Cr7,tr10,assign_tr10_Pcp69
Cargo ID_9,Cr7,tr14,assign_tr14_Pcp69
Cargo ID_10,Cr1,tr18,assign_tr18_Pcp18
Cargo ID_11,Cr1,tr24,assign_tr24_Pcp18
Cargo ID_12,Cr8,tr48,assign_tr48_Pcp21
Cargo ID_13,Cr8,tr33,assign_tr33_Pcp21
Cargo ID_14,Cr19,tr8,assign_tr8_Pcp74
Cargo ID_15,Cr19,tr43,assign_tr43_Pcp74
Cargo ID_16,Cr17,tr41,assign_tr41_Pcp23
Cargo ID_17,Cr17,tr12,assign_tr12_Pcp23
Cargo ID_18,Cr12,tr40,assign_tr40_Pcp39
Cargo ID_19,Cr12,tr36,assign_tr36_Pcp39
Cargo ID_20,Cr15,tr37,assign_tr37_Pcp41
Cargo ID_21,Cr15,tr47,assign_tr47_Pcp41
Cargo ID_22,Cr10,tr20,assign_tr20_Pcp29
Cargo ID_23,Cr10,tr49,assign_tr49_Pcp29
Cargo ID_24,Cr14,tr3,assign_tr3_Pcp81
Cargo ID_25,Cr14,tr44,assign_tr44_Pcp81
Cargo ID_26,Cr11,tr6,assign_tr6_Pcp36
Cargo ID_27,Cr11,tr27,assign_tr27_Pcp36
Cargo ID_28,Cr5,tr2,assign_tr2_Pcp22
Cargo ID_29,Cr5,tr31,assign_tr31_Pcp22
Cargo ID_30,Cr20,tr10,assign_tr10_Pcp28
Cargo ID_31,Cr15,tr25,assign_tr25_Pcp59
Cargo ID_32,Cr15,tr23,assign_tr23_Pcp59
Cargo ID_33,Cr20,tr38,assign_tr38_Pcp28
Cargo ID_34,Cr16,tr42,assign_tr42_Pcp7
Cargo ID_35,Cr16,tr48,assign_tr48_Pcp7
Cargo ID_36,Cr10,tr35,assign_tr35_Pcp64
Cargo ID_37,Cr10,tr32,assign_tr32_Pcp64
Cargo ID_38,Cr11,tr17,assign_tr17_Pcp4
Cargo ID_39,Cr11,tr24,assign_tr24_Pcp4
Cargo ID_40,Cr2,tr39,assign_tr39_Pcp5
Cargo ID_41,Cr2,tr22,assign_tr22_Pcp5
Cargo ID_42,Cr9,tr3,assign_tr3_Pcp98
Cargo ID_43,Cr17,tr46,assign_tr46_Pcp86
Cargo ID_44,Cr17,tr28,assign_tr28_Pcp86
Cargo ID_45,Cr9,tr19,assign_tr19_Pcp98
Cargo ID_46,Cr6,tr15,assign_tr15_Pcp67
Cargo ID_47,Cr6,tr14,assign_tr14_Pcp67
Cargo ID_48,Cr8,tr44,assign_tr44_Pcp72
Cargo ID_49,Cr8,tr29,assign_tr29_Pcp72
Cargo ID_50,Cr4,tr12,assign_tr12_Pcp38
Cargo ID_51,Cr4,tr25,assign_tr25_Pcp38
Cargo ID_52,Cr5,tr31,assign_tr31_Pcp10
Cargo ID_53,Cr3,tr36,assign_tr36_Pcp91
Cargo ID_54,Cr5,tr38,assign_tr38_Pcp10
Cargo ID_55,Cr3,tr21,assign_tr21_Pcp91
Cargo ID_56,Cr17,tr41,assign_tr41_Pcp63
Cargo ID_57,Cr17,tr8,assign_tr8_Pcp63
Cargo ID_58,Cr13,tr35,assign_tr35_Pcp47
Cargo ID_59,Cr13,tr1,assign_tr1_Pcp47
Cargo ID_60,Cr7,tr13,assign_tr13_Pcp79
Cargo ID_61,Cr7,tr27,assign_tr27_Pcp79
Cargo ID_62,Cr8,tr4,assign_tr4_Pcp16
