TPcpID,Pickup Plan ID,objectID,eventID
Pickup Plan ID_0,Pcp44,tr26,assign_tr26_Pcp44
Pickup Plan ID_1,Pcp44,tr49,assign_tr49_Pcp44
Pickup Plan ID_2,Pcp87,tr41,assign_tr41_Pcp87
Pickup Plan ID_3,Pcp87,tr22,assign_tr22_Pcp87
Pickup Plan ID_4,Pcp48,tr11,assign_tr11_Pcp48
Pickup Plan ID_5,Pcp48,tr4,assign_tr4_Pcp48
Pickup Plan ID_6,Pcp55,tr19,assign_tr19_Pcp55
Pickup Plan ID_7,Pcp55,tr30,assign_tr30_Pcp55
Pickup Plan ID_8,Pcp69,tr10,assign_tr10_Pcp69
Pickup Plan ID_9,Pcp69,tr14,assign_tr14_Pcp69
Pickup Plan ID_10,Pcp18,tr18,assign_tr18_Pcp18
Pickup Plan ID_11,Pcp18,tr24,assign_tr24_Pcp18
Pickup Plan ID_12,Pcp21,tr48,assign_tr48_Pcp21
Pickup Plan ID_13,Pcp21,tr33,assign_tr33_Pcp21
Pickup Plan ID_14,Pcp74,tr8,assign_tr8_Pcp74
Pickup Plan ID_15,Pcp74,tr43,assign_tr43_Pcp74
Pickup Plan ID_16,Pcp23,tr41,assign_tr41_Pcp23
Pickup Plan ID_17,Pcp23,tr12,assign_tr12_Pcp23
Pickup Plan ID_18,Pcp39,tr40,assign_tr40_Pcp39
Pickup Plan ID_19,Pcp39,tr36,assign_tr36_Pcp39
Pickup Plan ID_20,Pcp41,tr37,assign_tr37_Pcp41
Pickup Plan ID_21,Pcp41,tr47,assign_tr47_Pcp41
Pickup Plan ID_22,Pcp29,tr20,assign_tr20_Pcp29
Pickup Plan ID_23,Pcp29,tr49,assign_tr49_Pcp29
Pickup Plan ID_24,Pcp81,tr3,assign_tr3_Pcp81
Pickup Plan ID_25,Pcp81,tr44,assign_tr44_Pcp81
Pickup Plan ID_26,Pcp36,tr6,assign_tr6_Pcp36
Pickup Plan ID_27,Pcp36,tr27,assign_tr27_Pcp36
Pickup Plan ID_28,Pcp22,tr2,assign_tr2_Pcp22
Pickup Plan ID_29,Pcp22,tr31,assign_tr31_Pcp22
Pickup Plan ID_30,Pcp28,tr10,assign_tr10_Pcp28
