event_id,object_id,e2o_qualifier
Lodge_Pcp20,Pcp20,lodged pickup plan
Lodge_Pcp20,Cr89,cargo scheduled to be pick up
Lodge_Pcp49,Pcp49,lodged pickup plan
Lodge_Pcp49,Cr62,cargo scheduled to be pick up
Lodge_Pcp56,Pcp56,lodged pickup plan
Lodge_Pcp56,Cr14,cargo scheduled to be pick up
Lodge_Pcp77,Pcp77,lodged pickup plan
Lodge_Pcp77,Cr46,cargo scheduled to be pick up
Lodge_Pcp52,Pcp52,lodged pickup plan
Lodge_Pcp52,Cr24,cargo scheduled to be pick up
Lodge_Pcp42,Pcp42,lodged pickup plan
Lodge_Pcp42,Cr51,cargo scheduled to be pick up
Lodge_Pcp18,Pcp18,lodged pickup plan
Lodge_Pcp18,Cr29,cargo scheduled to be pick up
Lodge_Pcp26,Pcp26,lodged pickup plan
Lodge_Pcp26,Cr10,cargo scheduled to be pick up
Lodge_Pcp92,Pcp92,lodged pickup plan
Lodge_Pcp92,Cr27,cargo scheduled to be pick up
Lodge_Pcp95,Pcp95,lodged pickup plan
Lodge_Pcp95,Cr86,cargo scheduled to be pick up
Lodge_Pcp64,Pcp64,lodged pickup plan
Lodge_Pcp64,Cr33,cargo scheduled to be pick up
Lodge_Pcp13,Pcp13,lodged pickup plan
Lodge_Pcp13,Cr79,cargo scheduled to be pick up
Lodge_Pcp29,Pcp29,lodged pickup plan
Lodge_Pcp29,Cr72,cargo scheduled to be pick up
Lodge_Pcp84,Pcp84,lodged pickup plan
Lodge_Pcp84,Cr40,cargo scheduled to be pick up
Lodge_Pcp41,Pcp41,lodged pickup plan
Lodge_Pcp41,Cr21,cargo scheduled to be pick up
Lodge_Pcp36,Pcp36,lodged pickup plan
Lodge_Pcp36,Cr8,cargo scheduled to be pick up
Lodge_Pcp38,Pcp38,lodged pickup plan
Lodge_Pcp38,Cr18,cargo scheduled to be pick up
Lodge_Pcp69,Pcp69,lodged pickup plan
Lodge_Pcp69,Cr56,cargo scheduled to be pick up
Lodge_Pcp21,Pcp21,lodged pickup plan
Lodge_Pcp21,Cr37,cargo scheduled to be pick up
Lodge_Pcp57,Pcp57,lodged pickup plan
Lodge_Pcp57,Cr94,cargo scheduled to be pick up
Lodge_Pcp81,Pcp81,lodged pickup plan
Lodge_Pcp81,Cr35,cargo scheduled to be pick up
Lodge_Pcp67,Pcp67,lodged pickup plan
Lodge_Pcp67,Cr58,cargo scheduled to be pick up
Lodge_Pcp25,Pcp25,lodged pickup plan
Lodge_Pcp25,Cr15,cargo scheduled to be pick up
Lodge_Pcp73,Pcp73,lodged pickup plan
Lodge_Pcp73,Cr85,cargo scheduled to be pick up
Lodge_Pcp89,Pcp89,lodged pickup plan
Lodge_Pcp89,Cr63,cargo scheduled to be pick up
Lodge_Pcp88,Pcp88,lodged pickup plan
Lodge_Pcp88,Cr65,cargo scheduled to be pick up
Lodge_Pcp43,Pcp43,lodged pickup plan
Lodge_Pcp43,Cr77,cargo scheduled to be pick up
Lodge_Pcp98,Pcp98,lodged pickup plan
Lodge_Pcp98,Cr53,cargo scheduled to be pick up
Lodge_Pcp46,Pcp46,lodged pickup plan
Lodge_Pcp46,Cr28,cargo scheduled to be pick up
Lodge_Pcp48,Pcp48,lodged pickup plan
Lodge_Pcp48,Cr48,cargo scheduled to be pick up
Lodge_Pcp54,Pcp54,lodged pickup plan
Lodge_Pcp54,Cr68,cargo scheduled to be pick up
Lodge_Pcp58,Pcp58,lodged pickup plan
Lodge_Pcp58,Cr57,cargo scheduled to be pick up
Lodge_Pcp47,Pcp47,lodged pickup plan
Lodge_Pcp47,Cr34,cargo scheduled to be pick up
Lodge_Pcp3,Pcp3,lodged pickup plan
Lodge_Pcp3,Cr11,cargo scheduled to be pick up
Lodge_Pcp66,Pcp66,lodged pickup plan
Lodge_Pcp66,Cr32,cargo scheduled to be pick up
Lodge_Pcp79,Pcp79,lodged pickup plan
Lodge_Pcp79,Cr98,cargo scheduled to be pick up
Lodge_Pcp78,Pcp78,lodged pickup plan
Lodge_Pcp78,Cr96,cargo scheduled to be pick up
Lodge_Pcp53,Pcp53,lodged pickup plan
Lodge_Pcp53,Cr75,cargo scheduled to be pick up
Lodge_Pcp10,Pcp10,lodged pickup plan
Lodge_Pcp10,Cr93,cargo scheduled to be pick up
Lodge_Pcp1,Pcp1,lodged pickup plan
Lodge_Pcp1,Cr95,cargo scheduled to be pick up
Lodge_Pcp99,Pcp99,lodged pickup plan
Lodge_Pcp99,Cr31,cargo scheduled to be pick up
Lodge_Pcp65,Pcp65,lodged pickup plan
Lodge_Pcp65,Cr55,cargo scheduled to be pick up
Lodge_Pcp22,Pcp22,lodged pickup plan
Lodge_Pcp22,Cr88,cargo scheduled to be pick up
Lodge_Pcp61,Pcp61,lodged pickup plan
Lodge_Pcp61,Cr42,cargo scheduled to be pick up
Lodge_Pcp90,Pcp90,lodged pickup plan
Lodge_Pcp90,Cr41,cargo scheduled to be pick up
Lodge_Pcp7,Pcp7,lodged pickup plan
Lodge_Pcp7,Cr90,cargo scheduled to be pick up
Lodge_Pcp71,Pcp71,lodged pickup plan
Lodge_Pcp71,Cr16,cargo scheduled to be pick up
Lodge_Pcp28,Pcp28,lodged pickup plan
Lodge_Pcp28,Cr47,cargo scheduled to be pick up
Lodge_Pcp93,Pcp93,lodged pickup plan
Lodge_Pcp93,Cr71,cargo scheduled to be pick up
Lodge_Pcp55,Pcp55,lodged pickup plan
Lodge_Pcp55,Cr54,cargo scheduled to be pick up
Lodge_Pcp76,Pcp76,lodged pickup plan
Lodge_Pcp76,Cr69,cargo scheduled to be pick up
Lodge_Pcp23,Pcp23,lodged pickup plan
Lodge_Pcp23,Cr39,cargo scheduled to be pick up
Lodge_Pcp34,Pcp34,lodged pickup plan
Lodge_Pcp34,Cr50,cargo scheduled to be pick up
Lodge_Pcp60,Pcp60,lodged pickup plan
Lodge_Pcp60,Cr4,cargo scheduled to be pick up
Lodge_Pcp9,Pcp9,lodged pickup plan
Lodge_Pcp9,Cr82,cargo scheduled to be pick up
Lodge_Pcp97,Pcp97,lodged pickup plan
Lodge_Pcp97,Cr99,cargo scheduled to be pick up
Lodge_Pcp27,Pcp27,lodged pickup plan
Lodge_Pcp27,Cr43,cargo scheduled to be pick up
Lodge_Pcp94,Pcp94,lodged pickup plan
Lodge_Pcp94,Cr70,cargo scheduled to be pick up
Lodge_Pcp51,Pcp51,lodged pickup plan
Lodge_Pcp51,Cr12,cargo scheduled to be pick up
Lodge_Pcp19,Pcp19,lodged pickup plan
Lodge_Pcp19,Cr76,cargo scheduled to be pick up
Lodge_Pcp39,Pcp39,lodged pickup plan
Lodge_Pcp39,Cr9,cargo scheduled to be pick up
Lodge_Pcp8,Pcp8,lodged pickup plan
Lodge_Pcp8,Cr59,cargo scheduled to be pick up
Lodge_Pcp33,Pcp33,lodged pickup plan
Lodge_Pcp33,Cr25,cargo scheduled to be pick up
Lodge_Pcp5,Pcp5,lodged pickup plan
Lodge_Pcp5,Cr66,cargo scheduled to be pick up
Lodge_Pcp70,Pcp70,lodged pickup plan
Lodge_Pcp70,Cr7,cargo scheduled to be pick up
Lodge_Pcp75,Pcp75,lodged pickup plan
Lodge_Pcp75,Cr64,cargo scheduled to be pick up
Lodge_Pcp72,Pcp72,lodged pickup plan
Lodge_Pcp72,Cr2,cargo scheduled to be pick up
Lodge_Pcp14,Pcp14,lodged pickup plan
Lodge_Pcp14,Cr26,cargo scheduled to be pick up
Lodge_Pcp32,Pcp32,lodged pickup plan
Lodge_Pcp32,Cr38,cargo scheduled to be pick up
Lodge_Pcp30,Pcp30,lodged pickup plan
Lodge_Pcp30,Cr13,cargo scheduled to be pick up
Lodge_Pcp44,Pcp44,lodged pickup plan
Lodge_Pcp44,Cr87,cargo scheduled to be pick up
Lodge_Pcp82,Pcp82,lodged pickup plan
Lodge_Pcp82,Cr61,cargo scheduled to be pick up
Lodge_Pcp96,Pcp96,lodged pickup plan
Lodge_Pcp96,Cr91,cargo scheduled to be pick up
Lodge_Pcp31,Pcp31,lodged pickup plan
Lodge_Pcp31,Cr5,cargo scheduled to be pick up
Lodge_Pcp45,Pcp45,lodged pickup plan
Lodge_Pcp45,Cr6,cargo scheduled to be pick up
Lodge_Pcp24,Pcp24,lodged pickup plan
Lodge_Pcp24,Cr73,cargo scheduled to be pick up
Lodge_Pcp50,Pcp50,lodged pickup plan
Lodge_Pcp50,Cr36,cargo scheduled to be pick up
Lodge_Pcp4,Pcp4,lodged pickup plan
