event_id,timestamp,activity
Lodge_Pcp7,2024-04-29 08:12:32,Lodge Pickup Plan
Lodge_Pcp1,2024-04-29 08:39:46,Lodge Pickup Plan
Lodge_Pcp2,2024-04-29 08:46:20,Lodge Pickup Plan
Lodge_Pcp5,2024-04-29 09:07:13,Lodge Pickup Plan
Lodge_Pcp4,2024-04-29 09:07:35,Lodge Pickup Plan
Lodge_Pcp8,2024-04-29 09:10:45,Lodge Pickup Plan
Lodge_Pcp3,2024-04-29 09:25:16,Lodge Pickup Plan
Lodge_Pcp6,2024-04-29 09:31:44,Lodge Pickup Plan
assign_trs_Pcp7,2024-05-01 09:39:03,Assign Trucks
assign_trs_Pcp7,2024-05-01 09:45:02,Assign Trucks
assign_trs_Pcp7,2024-05-01 09:45:49,Assign Trucks
assign_trs_Pcp7,2024-05-01 09:50:43,Assign Trucks
assign_trs_Pcp7,2024-05-01 09:51:14,Assign Trucks
assign_trs_Pcp7,2024-05-01 09:53:56,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:00:15,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:00:58,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:04:05,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:06:23,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:06:25,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:11:23,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:12:18,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:13:45,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:16:13,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:21:57,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:22:21,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:24:55,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:28:35,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:28:47,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:33:02,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:34:51,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:35:31,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:35:59,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:36:05,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:39:05,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:40:27,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:40:28,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:45:11,Assign Trucks
assign_trs_Pcp7,2024-05-01 10:49:50,Assign Trucks
assign_trs_Pcp1,2024-05-01 10:51:43,Assign Trucks
assign_trs_Pcp7,2024-05-01 11:00:34,Assign Trucks
assign_trs_Pcp1,2024-05-01 11:07:24,Assign Trucks
assign_trs_Pcp7,2024-05-01 11:10:00,Assign Trucks
assign_trs_Pcp1,2024-05-01 11:13:51,Assign Trucks
assign_trs_Pcp7,2024-05-01 11:16:04,Assign Trucks
assign_trs_Pcp7,2024-05-01 11:16:57,Assign Trucks
assign_trs_Pcp1,2024-05-01 11:21:43,Assign Trucks
weigh_empty_trucktr32,2024-05-01 11:26:06,Weigh the Empty Truck
assign_trs_Pcp7,2024-05-01 11:28:52,Assign Trucks
weigh_empty_trucktr3,2024-05-01 11:29:39,Weigh the Empty Truck
assign_trs_Pcp7,2024-05-01 11:31:04,Assign Trucks
weigh_empty_trucktr19,2024-05-01 11:31:19,Weigh the Empty Truck
load_trucktr3,2024-05-01 11:33:11,Load Truck
load_trucktr32,2024-05-01 11:34:39,Load Truck
assign_trs_Pcp7,2024-05-01 11:37:45,Assign Trucks
load_trucktr19,2024-05-01 11:38:43,Load Truck
assign_trs_Pcp7,2024-05-01 11:39:44,Assign Trucks
assign_trs_Pcp7,2024-05-01 11:45:46,Assign Trucks
weigh_empty_trucktr47,2024-05-01 11:49:23,Weigh the Empty Truck
assign_trs_Pcp7,2024-05-01 11:57:34,Assign Trucks
weigh_empty_trucktr48,2024-05-01 11:58:22,Weigh the Empty Truck
weigh_empty_trucktr40,2024-05-01 11:58:44,Weigh the Empty Truck
weigh_empty_trucktr31,2024-05-01 12:05:19,Weigh the Empty Truck
assign_trs_Pcp1,2024-05-01 12:18:53,Assign Trucks
weigh_empty_trucktr39,2024-05-01 12:38:38,Weigh the Empty Truck
assign_trs_Pcp7,2024-05-01 13:20:41,Assign Trucks
load_trucktr31,2024-05-01 13:35:10,Load Truck
assign_trs_Pcp7,2024-05-01 13:46:19,Assign Trucks
weigh_empty_trucktr27,2024-05-01 13:46:43,Weigh the Empty Truck
load_trucktr39,2024-05-01 13:54:38,Load Truck
weigh_empty_trucktr23,2024-05-01 13:57:35,Weigh the Empty Truck
load_trucktr27,2024-05-01 13:59:35,Load Truck
assign_trs_Pcp7,2024-05-01 14:01:18,Assign Trucks
load_trucktr47,2024-05-01 14:04:42,Load Truck
load_trucktr48,2024-05-01 14:07:19,Load Truck
assign_trs_Pcp7,2024-05-01 14:18:59,Assign Trucks
weigh_empty_trucktr15,2024-05-01 14:30:16,Weigh the Empty Truck
weigh_empty_trucktr20,2024-05-01 14:34:06,Weigh the Empty Truck
load_trucktr20,2024-05-01 14:40:09,Load Truck
weigh_empty_trucktr50,2024-05-01 14:41:46,Weigh the Empty Truck
load_trucktr40,2024-05-01 14:44:18,Load Truck
weigh_empty_trucktr28,2024-05-01 14:44:24,Weigh the Empty Truck
weigh_empty_trucktr30,2024-05-01 14:44:43,Weigh the Empty Truck
load_trucktr15,2024-05-01 14:48:46,Load Truck
load_trucktr30,2024-05-01 14:49:20,Load Truck
weigh_empty_trucktr41,2024-05-01 14:49:59,Weigh the Empty Truck
weigh_empty_trucktr21,2024-05-01 14:59:22,Weigh the Empty Truck
weigh_empty_trucktr26,2024-05-01 15:04:20,Weigh the Empty Truck
weigh_empty_trucktr34,2024-05-01 15:06:05,Weigh the Empty Truck
load_trucktr26,2024-05-01 15:09:16,Load Truck
weigh_empty_trucktr1,2024-05-01 15:16:16,Weigh the Empty Truck
load_trucktr23,2024-05-01 15:18:22,Load Truck
weigh_empty_trucktr13,2024-05-01 15:20:48,Weigh the Empty Truck
weigh_empty_trucktr38,2024-05-01 15:25:51,Weigh the Empty Truck
load_trucktr13,2024-05-01 15:27:21,Load Truck
load_trucktr1,2024-05-01 15:32:13,Load Truck
load_trucktr38,2024-05-01 15:34:01,Load Truck
weigh_empty_trucktr17,2024-05-01 15:34:03,Weigh the Empty Truck
assign_trs_Pcp1,2024-05-01 15:35:56,Assign Trucks
load_trucktr34,2024-05-01 15:41:05,Load Truck
load_trucktr50,2024-05-01 15:42:54,Load Truck
weigh_empty_trucktr16,2024-05-01 15:45:13,Weigh the Empty Truck
weigh_empty_trucktr29,2024-05-01 15:55:18,Weigh the Empty Truck
load_trucktr17,2024-05-01 15:58:18,Load Truck
load_trucktr29,2024-05-01 15:58:23,Load Truck
load_trucktr41,2024-05-01 16:01:50,Load Truck
weigh_empty_trucktr36,2024-05-01 16:03:16,Weigh the Empty Truck
weigh_empty_trucktr22,2024-05-01 16:04:07,Weigh the Empty Truck
load_trucktr28,2024-05-01 16:12:30,Load Truck
load_trucktr21,2024-05-01 16:16:02,Load Truck
weigh_empty_trucktr46,2024-05-01 16:24:00,Weigh the Empty Truck
weigh_empty_trucktr18,2024-05-01 16:30:26,Weigh the Empty Truck
load_trucktr36,2024-05-01 16:30:46,Load Truck
weigh_empty_trucktr35,2024-05-01 16:43:23,Weigh the Empty Truck
weigh_empty_trucktr4,2024-05-01 16:45:14,Weigh the Empty Truck
weigh_empty_trucktr25,2024-05-01 16:49:41,Weigh the Empty Truck
load_trucktr22,2024-05-01 16:50:00,Load Truck
load_trucktr35,2024-05-01 16:50:18,Load Truck
weigh_empty_trucktr43,2024-05-01 17:07:28,Weigh the Empty Truck
weigh_empty_trucktr33,2024-05-01 17:08:42,Weigh the Empty Truck
load_trucktr33,2024-05-01 17:21:49,Load Truck
weigh_empty_trucktr44,2024-05-01 17:27:24,Weigh the Empty Truck
load_trucktr16,2024-05-01 17:33:07,Load Truck
weigh_empty_trucktr10,2024-05-01 17:37:41,Weigh the Empty Truck
load_trucktr43,2024-05-01 17:41:15,Load Truck
load_trucktr4,2024-05-01 17:47:11,Load Truck
weigh_empty_trucktr12,2024-05-01 17:58:03,Weigh the Empty Truck
load_trucktr25,2024-05-01 18:07:58,Load Truck
load_trucktr18,2024-05-01 18:30:26,Load Truck
weigh_empty_trucktr14,2024-05-02 07:09:58,Weigh the Empty Truck
load_trucktr14,2024-05-02 07:24:58,Load Truck
load_trucktr46,2024-05-02 07:26:49,Load Truck
load_trucktr44,2024-05-02 07:39:43,Load Truck
load_trucktr10,2024-05-02 08:01:02,Load Truck
load_trucktr12,2024-05-02 08:04:41,Load Truck
weigh_empty_trucktr11,2024-05-02 08:39:08,Weigh the Empty Truck
weigh_empty_trucktr42,2024-05-02 08:49:44,Weigh the Empty Truck
weigh_empty_trucktr2,2024-05-02 08:53:36,Weigh the Empty Truck
weigh_empty_trucktr9,2024-05-02 09:10:16,Weigh the Empty Truck
weigh_empty_trucktr24,2024-05-02 09:10:27,Weigh the Empty Truck
load_trucktr9,2024-05-02 09:17:04,Load Truck
weigh_empty_trucktr37,2024-05-02 09:23:42,Weigh the Empty Truck
load_trucktr24,2024-05-02 09:28:28,Load Truck
weigh_empty_trucktr6,2024-05-02 09:30:15,Weigh the Empty Truck
load_trucktr6,2024-05-02 09:34:09,Load Truck
load_trucktr37,2024-05-02 09:35:05,Load Truck
load_trucktr42,2024-05-02 10:01:52,Load Truck
weigh_empty_trucktr49,2024-05-02 10:04:38,Weigh the Empty Truck
load_trucktr2,2024-05-02 10:08:03,Load Truck
load_trucktr11,2024-05-02 10:09:40,Load Truck
weigh_empty_trucktr7,2024-05-02 10:16:00,Weigh the Empty Truck
load_trucktr7,2024-05-02 10:21:34,Load Truck
load_trucktr49,2024-05-02 10:34:31,Load Truck
weigh_empty_trucktr5,2024-05-02 10:39:41,Weigh the Empty Truck
weigh_loaded_trucktr19,2024-05-02 11:42:16,Weigh the Loaded Truck
load_trucktr5,2024-05-02 11:56:41,Load Truck
weigh_empty_trucktr45,2024-05-02 11:56:45,Weigh the Empty Truck
weigh_empty_trucktr8,2024-05-02 12:11:56,Weigh the Empty Truck
load_trucktr8,2024-05-02 13:36:15,Load Truck
weigh_loaded_trucktr23,2024-05-02 13:43:39,Weigh the Loaded Truck
input_tally_sheettr19,2024-05-02 13:55:01,Input the Tally Sheet
print_w_tickettr19,2024-05-02 13:55:01,Print the Weighing Ticket
input_tally_sheettr23,2024-05-02 14:08:38,Input the Tally Sheet
print_w_tickettr23,2024-05-02 14:08:38,Print the Weighing Ticket
load_trucktr45,2024-05-02 14:09:34,Load Truck
weigh_loaded_trucktr47,2024-05-02 14:18:23,Weigh the Loaded Truck
eval_trs_exittr23_Pcp7,2024-05-02 14:26:26,Evaluate the Truck Exit
weigh_loaded_trucktr40,2024-05-02 14:38:21,Weigh the Loaded Truck
print_w_tickettr40,2024-05-02 14:51:01,Print the Weighing Ticket
input_tally_sheettr40,2024-05-02 14:51:01,Input the Tally Sheet
print_w_tickettr47,2024-05-02 15:04:48,Print the Weighing Ticket
input_tally_sheettr47,2024-05-02 15:04:48,Input the Tally Sheet
weigh_loaded_trucktr32,2024-05-02 15:05:24,Weigh the Loaded Truck
eval_trs_exittr19_Pcp7,2024-05-02 15:18:55,Evaluate the Truck Exit
eval_trs_exittr47_Pcp7,2024-05-02 15:19:15,Evaluate the Truck Exit
print_w_tickettr32,2024-05-02 15:39:17,Print the Weighing Ticket
input_tally_sheettr32,2024-05-02 15:39:17,Input the Tally Sheet
eval_trs_exittr32_Pcp7,2024-05-02 15:52:43,Evaluate the Truck Exit
weigh_loaded_trucktr48,2024-05-02 16:01:01,Weigh the Loaded Truck
weigh_loaded_trucktr12,2024-05-02 16:06:05,Weigh the Loaded Truck
eval_trs_exittr40_Pcp7,2024-05-02 16:08:31,Evaluate the Truck Exit
assign_trs_Pcp8,2024-05-02 16:14:53,Assign Trucks
weigh_loaded_trucktr4,2024-05-02 16:15:41,Weigh the Loaded Truck
print_w_tickettr48,2024-05-02 16:36:37,Print the Weighing Ticket
input_tally_sheettr48,2024-05-02 16:36:37,Input the Tally Sheet
weigh_loaded_trucktr30,2024-05-02 16:44:42,Weigh the Loaded Truck
print_w_tickettr12,2024-05-02 16:48:56,Print the Weighing Ticket
input_tally_sheettr12,2024-05-02 16:48:56,Input the Tally Sheet
