object_id,timestamp,ocel_changed_field,Pickup Plan ID,Cargo ID,LPT,Axles,Scheduled Pickup Weight,Truck Status,Truck Weight
tr46,2024-03-04 00:00:00,,,,271FSE,6,0.0,Available,0.0
tr28,2024-03-04 00:00:00,,,,157LCX,4,0.0,Available,0.0
tr5,2024-03-04 00:00:00,,,,012CRA,6,0.0,Available,0.0
tr27,2024-03-04 00:00:00,,,,764KIO,4,0.0,Available,0.0
tr41,2024-03-04 00:00:00,,,,055DSW,4,0.0,Available,0.0
tr12,2024-03-04 00:00:00,,,,710YJQ,2,0.0,Available,0.0
tr36,2024-03-04 00:00:00,,,,671NRX,4,0.0,Available,0.0
tr37,2024-03-04 00:00:00,,,,280QHM,6,0.0,Available,0.0
tr33,2024-03-04 00:00:00,,,,823MWT,6,0.0,Available,0.0
tr49,2024-03-04 00:00:00,,,,606MXL,6,0.0,Available,0.0
tr19,2024-03-04 00:00:00,,,,768QPS,2,0.0,Available,0.0
tr35,2024-03-04 00:00:00,,,,125YSO,4,0.0,Available,0.0
tr29,2024-03-04 00:00:00,,,,199LWF,4,0.0,Available,0.0
tr25,2024-03-04 00:00:00,,,,935YUF,4,0.0,Available,0.0
tr43,2024-03-04 00:00:00,,,,516RXR,2,0.0,Available,0.0
tr18,2024-03-04 00:00:00,,,,926VFT,4,0.0,Available,0.0
tr48,2024-03-04 00:00:00,,,,352PSG,4,0.0,Available,0.0
tr17,2024-03-04 00:00:00,,,,581DYE,6,0.0,Available,0.0
tr4,2024-03-04 00:00:00,,,,335QUF,2,0.0,Available,0.0
tr21,2024-03-04 00:00:00,,,,275FJS,4,0.0,Available,0.0
tr1,2024-03-04 00:00:00,,,,779BOG,6,0.0,Available,0.0
tr10,2024-03-04 00:00:00,,,,622SCZ,2,0.0,Available,0.0
tr39,2024-03-04 00:00:00,,,,152ACE,2,0.0,Available,0.0
tr9,2024-03-04 00:00:00,,,,358QAR,6,0.0,Available,0.0
tr22,2024-03-04 00:00:00,,,,534VKG,4,0.0,Available,0.0
tr40,2024-03-04 00:00:00,,,,665MJJ,4,0.0,Available,0.0
tr30,2024-03-04 00:00:00,,,,322GGS,2,0.0,Available,0.0
tr16,2024-03-04 00:00:00,,,,681JLZ,6,0.0,Available,0.0
tr14,2024-03-04 00:00:00,,,,704VGQ,2,0.0,Available,0.0
tr32,2024-03-04 00:00:00,,,,380DUE,6,0.0,Available,0.0
tr6,2024-03-04 00:00:00,,,,702XFC,2,0.0,Available,0.0
tr3,2024-03-04 00:00:00,,,,249VPA,4,0.0,Available,0.0
tr26,2024-03-04 00:00:00,,,,068JIT,2,0.0,Available,0.0
tr23,2024-03-04 00:00:00,,,,847TSW,6,0.0,Available,0.0
tr44,2024-03-04 00:00:00,,,,720QYQ,4,0.0,Available,0.0
tr8,2024-03-04 00:00:00,,,,341KDU,2,0.0,Available,0.0
tr42,2024-03-04 00:00:00,,,,693VMO,6,0.0,Available,0.0
tr11,2024-03-04 00:00:00,,,,846KXL,4,0.0,Available,0.0
tr7,2024-03-04 00:00:00,,,,747FJX,2,0.0,Available,0.0
tr50,2024-03-04 00:00:00,,,,478FZE,6,0.0,Available,0.0
tr13,2024-03-04 00:00:00,,,,745QOR,2,0.0,Available,0.0
tr38,2024-03-04 00:00:00,,,,152SGS,6,0.0,Available,0.0
tr15,2024-03-04 00:00:00,,,,731QSN,6,0.0,Available,0.0
tr45,2024-03-04 00:00:00,,,,110JHX,4,0.0,Available,0.0
tr47,2024-03-04 00:00:00,,,,218IVR,4,0.0,Available,0.0
tr34,2024-03-04 00:00:00,,,,622MSX,6,0.0,Available,0.0
tr2,2024-03-04 00:00:00,,,,968MEX,6,0.0,Available,0.0
tr24,2024-03-04 00:00:00,,,,773CWA,2,0.0,Available,0.0
tr31,2024-03-04 00:00:00,,,,433XVW,4,0.0,Available,0.0
tr20,2024-03-04 00:00:00,,,,751GPH,4,0.0,Available,0.0
tr23,2024-05-01 09:39:03,Truck Status,,,,,,Occupied,
tr23,2024-05-01 09:39:03,Pickup Plan ID,Pcp7,,,,,,
